series_id,col,name,category,subcategory,units,frequency,notes,sort_key,country,concept,cycle_timing
UEMPMEAN,,US Average Duration of Unemployment,Growth,Labour Market,Weeks (SA),Monthly,LAG component; extends well into recoveries. >25 weeks = severe labour slack.,442,USA,Labour,G
TOTCI,,US Commercial & Industrial Loans Outstanding,Financial Conditions,Credit Conditions,Billions USD (SA),Weekly,Bank lending volumes lag new-order signals. YoY contraction = credit crunch.,444,USA,Credit / Spreads,G
CP,,US Corporate Profits After Tax (NIPA),Growth,Earnings,Billions USD (SAAR),Quarterly,Economy-wide corporate profitability. Confirms cycle turns; forward-looking for equities.,446,USA,Growth,C
GBRCPIALLMINMEI,GBR_CPI,UK CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,UK headline consumer prices. Replaces annual World Bank CPI proxy.,450,GBR,Inflation,G
BOERUKM,GBR_BANK_RATE,Bank of England Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,BoE Bank Rate. MPC decisions react to backward-looking data.,452,GBR,Rates / Yields,G
DEUPROINDMISMEI,DEU_IND_PROD,Germany Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,Bellwether for euro-area manufacturing. Leads EZ GDP.,454,DEU,Growth,C
EA19CPALTT01GYM,EA_HICP,Eurozone HICP Inflation YoY,Inflation,CPI,Percent Change YoY,Monthly,ECB target variable (2%). Replaces annual World Bank CPI proxy.,456,EA19,Inflation,G
ECBDFR,EA_DEPOSIT_RATE,ECB Deposit Facility Rate,Monetary Policy,Policy Rate,Percent,Daily,ECB key policy rate since Oct 2019 corridor reform. Lagging indicator.,458,EA19,Rates / Yields,G
RBJPBIS,JPN_REER,Japan Real Effective Exchange Rate (BIS),FX,Exchange Rates,Index 2020=100,Monthly,Weak JPY supports exporter earnings. BIS broad REER; 1994+.,460,JPN,External / Trade,C
JPNPROINDMISMEI,JPN_IND_PROD,Japan Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,METI monthly IP. Coincident cycle measure for Japan manufacturing.,462,JPN,Growth,C
JPNCPIALLMINMEI,JPN_CPI,Japan CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,Japan headline consumer prices. Replaces annual World Bank CPI proxy.,464,JPN,Inflation,G
IRSTCB01JPM156N,JPN_POLICY_RATE,BoJ Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,Bank of Japan short-term policy rate. OECD-sourced.,466,JPN,Rates / Yields,G
MYAGM2CNM189N,CHN_M2,China M2 Money Supply YoY,Growth,Money Supply,Percent Change YoY,Monthly,M1-M2 spread watched as liquidity / animal-spirits gauge. OECD-sourced.,470,CHN,Money / Liquidity,L
IRSTCB01CNM156N,CHN_POLICY_RATE,China PBoC Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,PBoC 7-day reverse repo rate proxy. OECD central bank rate.,472,CHN,Rates / Yields,G
CHNCPIALLMINMEI,CHN_CPI,China CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,China headline CPI. Replaces annual World Bank CPI proxy. Food-weighted.,474,CHN,Inflation,G
CHNPRINTO01IXPYM,CHN_IND_PROD,China Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,Total industry excl. construction. OECD-sourced; 1990+.,478,CHN,Growth,C
XTIMVA01CNM667S,CHN_IMPORTS,China Imports (Merchandise),Growth,Trade,USD Growth Rate YoY,Monthly,Domestic demand barometer given commodity intensity. OECD-sourced.,480,CHN,External / Trade,C
XTEXVA01CNM667S,CHN_EXPORTS,China Exports (Merchandise),Growth,Trade,USD Growth Rate YoY,Monthly,External demand gauge; tracks global trade cycle. OECD-sourced.,482,CHN,External / Trade,C
JTSJOL,,JOLTS Job Openings (level),Growth,Labour,Thousands,Monthly,Total nonfarm job openings level from JOLTS; openings/unemployed ratio is a wage-pressure leading indicator,82,USA,Labour,L
UNEMPLOY,,Unemployed Persons (level),Growth,Labour,Thousands,Monthly,CPS unemployed persons level (16+); denominator for the openings/unemployed ratio,84,USA,Labour,C
MORTGAGE30US,,30-Year Fixed Mortgage Rate,Monetary Policy,Mortgage Rates,Percent,Weekly,Freddie Mac primary mortgage market survey 30Y fixed-rate average; spread to DGS10 = mortgage credit risk premium,219,USA,Rates / Yields,L
BAMLHE00EHYIOAS,,ICE BofA Euro High Yield OAS,Financial Conditions,Credit Spreads,Percent,Daily,Option-adjusted spread on EUR-denominated BB-and-below corporate bonds; consumed by EU_Cr2 (Euro HY spread regime indicator),410,EA19,Credit / Spreads,L
IRLTLT01ITM156N,ITA_BTP_10Y,Italy 10-Year BTP Yield,Monetary Policy,Government Yields,% per annum,Monthly,Italian benchmark long-rate (OECD via FRED); BTP-Bund spread is the canonical eurozone peripheral risk premium gauge,397,ITA,Rates / Yields,C
INDIRLTLT01STM,IND_GOVT_10Y,India 10-Year Government Bond Yield,Monetary Policy,Government Yields,% per annum,Monthly,Indian sovereign 10-year benchmark yield (OECD via FRED); INDIRLTLT01STM uses inverted naming (not IRLTLT01INM156N),398,IND,Rates / Yields,C
