id,category,group,sub_group,naturally_leading,formula_using_library_names,economic_interpretation,regime_classification
FX_CMD1,Copper vs gold,FX & Commodities,CrossAsset - Growth,,Copper / Gold,"Copper thrives in expansionary environments and gold in safe-haven scenarios; a high or rising ratio indicates a healthy growing economy, while a low or falling ratio indicates market fear and potential recession.","Z > +1: strong global-growth signal (tilt to cyclicals, EM, commodities); Z < -1: growth-concerns/recession-watch (tilt to defensives, duration, gold)."
M1,Momentum – US equities trend,US,Mmtm - Equity,,Compare S&P 500 level to its N-month SMA (e.g. 10-month or 200-day),Classic trend-following: long only when price > trend has historically reduced drawdowns and improved risk-adjusted returns vs buy-and-hold for the S&P 500.,Regime: price > SMA: risk-on for US equities; price < SMA: risk-off / underweight. Optionally use z-score of distance from SMA for gradation.
M2,Momentum – multi-asset trend,US,Mmtm - CrossAsset,,"Apply same SMA filter separately to S&P 500, iShares MSCI World ETF, ICE BofA US Treasury Index, S&P 500 Equity Real Estate Investment Trusts, Invesco DB Commodity Index Fund","Faber-style 5-asset TAA: assets above trend are held, those below are moved to cash; this tilts toward assets in persistent uptrends while de-risking falling ones.","For each asset: price > SMA: included; price < SMA: excluded to cash. Portfolio regime can be defined by share of assets above trend (e.g. >3/5 = risk-on, <2/5 = defensive)."
M3,Momentum – dual momentum equity/bond,US,Mmtm - CrossAsset,,"Use 12-month total returns of S&P 500 and iShares MSCI World ETF vs cash (US 3-Month Treasury Yield as proxy), with bond sleeve via iShares Core Global Aggregate Bond UCITS ETF or ICE BofA US Treasury Index","Dual momentum chooses between US equities, global equities and bonds based on trailing returns, capturing both trend and cross-section.",Regime: if both equity 12m returns < cash → bond regime; else hold equity index with higher 12m return (US leadership vs global).
M4,Momentum – US high yield vs Treasuries,US,Mmtm - Credit,,"log(ICE BofA US HY Total Return Index (BAMLHYH0A0HYM2TRIV) / its 40-week SMA (~200-day equivalent, on weekly data). Spread override: if HY OAS (BAMLH0A0HYM2) > 600 bps, indicator forced to -1 (stress) regardless of trend.","Tactical high yield: being in HY only when above its long-term MA and otherwise in short Treasuries has improved drawdown profile, as HY tends to break trend when spreads widen.",Price > SMA and spread not extremely high: carry regime (HY acceptable); price < SMA or spread Z > +1.5: stress regime (move to Treasuries).
M5,Momentum – vol-filtered equity exposure,US,Mmtm - Volatility,,13-week SMA vs 52-week SMA of CBOE VIX Volatility Index (on weekly data; ~3-month vs 12-month). log(VIX_13w / VIX_52w): negative = vol trending below annual average = equity-friendly.,"Volatility-based regime filter. When the 3-month VIX average drops below the 12-month average, implied volatility is mean-reverting downward, signalling a sustained calm environment supportive of equity risk-taking. The 52-week anchor separates short-term vol spikes from genuine regime transitions, which is appropriate for a 6-9 month investment horizon.","log(13wk/52wk) < 0: equity-friendly (vol trending below annual mean; add equity risk); log(13wk/52wk) > 0: defensive (vol expanding above annual mean; reduce equity exposure, add hedges)."
EU_G3,Growth / cyclicals vs defensives (Europe),Europe,Equity - Growth,,(STOXX Europe 600 Industrials + STOXX Europe 600 Banks + STOXX Europe 600 Technology) / (STOXX Europe 600 Utilities + STOXX Europe 600 Consumer Staples),"European cyclicals (industrials, banks, tech) vs defensives (utilities, staples) as a proxy for euro-area and UK growth expectations and risk appetite.",Compute z-score of log-ratio. Z > +1: pro-growth Europe (OW European cyclicals); -1 <= Z <= +1: neutral; Z < -1: defensive Europe regime.
UK_G1,UK domestic vs global,UK,Equity - Growth,,FTSE 250 / FTSE 100,"FTSE 250 is more tilted to UK domestic mid-caps, whereas FTSE 100 is dominated by global mega-caps and exporters; their ratio reflects relative confidence in UK domestic demand vs global earnings.",Z > +1: strong UK domestic backdrop (OW UK mid/small caps); Z < -1: global majors preferred (tilt to FTSE 100-style exposures).
EU_G2,Eurozone vs US leadership,Europe,Equity - Growth,,Euro Stoxx 50 / S&P 500,"Eurozone vs US equity leadership reflects relative macro conditions, earnings growth and policy stance.",Z > +1: Eurozone macro/earnings outperformance (OW Eurozone vs US); Z < -1: US dominance (OW US vs Eurozone).
EU_Cr1,IG Spread - EUR,Europe,Credit,,yield(ICE BofA Euro Corporate Bond Index) - yield(ICE BofA Euro Government Bond Index),A widening corporate–government spread in Europe is a financial-conditions indicator analogous to US HY/IG spreads; it reflects euro credit stress or ease.,"Z > +1: tightening euro credit (UW Euro credit, OW core govts); -1 <= Z <= +1: normal; Z < -1: unusually easy conditions (watch for late-cycle reach for yield)."
UK_R2,Breakeven - Proxy (return) - GBP,UK,Rates - Inflation,,log(iShares UK Inflation-Linked Gilt ETF (INXG.L) / iShares UK Gilt ETF (IGLT.L)),The gap between nominal gilt yields and UK inflation-linked gilts approximates UK inflation expectations and real-rate levels.,"Z > +1: elevated UK inflation expectations / higher real-rate risk (UW long gilts, OW real assets); Z < -1: disinflation/low real-rate regime (OW duration)."
UK_Cr1,UK credit conditions,UK,Credit,,iShares Core GBP Corporate Bond UCITS ETF / ICE BofA UK Gilt Index,Relative performance of GBP corporates vs gilts reflects UK credit risk appetite and funding conditions.,Z > +1: strong credit appetite (corporates outperform); Z < -1: flight-to-quality into gilts (tightening conditions).
EU_G4,EUR vs European cyclicals,Europe,Equity - Growth,,Composite of EUR/USD and STOXX Europe 600 Industrials / STOXX Europe 600 Utilities,A strong EUR plus strong European cyclicals tends to align with improving euro-area growth and less policy divergence; a weak EUR and cyclicals underperformance suggest slowdown or policy headwinds.,Define composite z-score (average of EUR/USD and cyclicals/defensives z-scores). Composite Z > +1: Eurozone-friendly macro; Z < -1: Eurozone under strain (UW Euro cyclicals).
AS_CN_G3,China size / domestic cycle,Asia,China - Equity - Factor (Size),,CSI 500 / CSI 300,CSI 300 represents large caps while CSI 500 tilts more to mid-caps; their ratio is a proxy for domestic risk appetite and breadth of growth in China.,"Z > +1: mid-cap/smaller-cap leadership (stronger domestic / broader growth); Z < -1: large-cap safety (narrow leadership, caution)."
AS_CN_G2,China vs global DM,Asia,China - Equity (Growth),,Shanghai Composite / MSCI World proxy via iShares MSCI World ETF,"Relative performance of China vs global developed markets reflects China-specific growth, policy and geopolitical dynamics vs global conditions.",Z > +1: China outperformance (favour China/Asia risk); Z < -1: China underperformance (cautious on China-sensitive assets).
AS_IN_G1,India domestic growth breadth,Asia,India - Equity - Factor (Size),,Nifty Midcap 150 / Nifty 50 and Nifty Smallcap 250 / Nifty 50,"Indian mid and small caps are more domestically focused and cyclical than the large-cap Nifty 50; their relative performance tracks domestic growth, liquidity and risk appetite.",Z > +1 on either ratio: strong domestic growth/animal spirits; Z < -1: preference for large-cap safety (late-cycle/tightening).
AS_CN_R1,China rates vs US,Asia,China - Rates,,"China 10Y Govt Bond Yield (IRLTLT01CNM156N, FRED) minus US 10Y Treasury Yield (DGS10, FRED)","China–US 10Y yield spread measures carry incentive: a wider spread means Chinese bonds offer more yield than US Treasuries, supporting CNY capital inflows and China risk appetite. Narrowing spread reduces carry incentive and may signal looser Chinese monetary policy or rising US rates.","Z > +1: China-bonds-attractive (wide carry spread; supportive of CNY and China risk appetite); -1 <= Z <= +1: neutral; Z < -1: China-underperform (spread compressed; CNY carry unattractive, outflow risk)."
AS_IN_R1,India rates vs US,Asia,India - Rates,,"India 10Y Govt Bond Yield (IRLTLT01INM156N, FRED) minus US 10Y Treasury Yield (DGS10, FRED)",India–US 10Y yield spread measures carry attractiveness for INR bonds. A wider spread supports INR via carry inflows and reflects India's higher growth/inflation premium. Narrowing spread reduces foreign demand for Indian bonds and increases INR depreciation risk.,"Z > +1: India-carry-attractive (wide spread; supportive of INR bonds and India risk); -1 <= Z <= +1: neutral; Z < -1: India-underperform (compressed spread; INR carry unattractive, policy or inflation risk)."
FX_CN1,CNY directional momentum,FX & Commodities,China - FX Mmtm,,log(CNY=X / 26-week SMA of CNY=X). CNY=X = USD per CNY (higher = CNY stronger).,"CNY 6-month directional momentum. Positive momentum signals CNY strengthening, reflecting Chinese macro confidence, PBOC support or capital inflows. Negative momentum signals CNY weakening, which often accompanies capital outflows, PBOC easing, or US-China trade stress. As a directional signal for a 6-9 month investor, momentum is more actionable than the absolute FX level.","Z > +1: CNY-strengthening (momentum above average; supportive of China equities, EM assets, commodities); -1 <= Z <= +1: neutral; Z < -1: CNY-weakening (momentum below average; caution on China risk, watch for EM contagion)."
FX_1,INR directional momentum,FX & Commodities,India - FX Mmtm,,log(INR=X / 26-week SMA of INR=X). INR=X = USD per INR (higher = INR stronger).,"INR 6-month directional momentum. Positive momentum signals INR strengthening, reflecting India's current-account improvement or capital inflows. Negative momentum signals INR weakening, driven by import pressures (oil), RBI easing or global risk-off. Directional momentum is more actionable than the raw FX level for a 6-9 month allocation view.",Z > +1: INR-strengthening (momentum above average; supportive of India equities and bonds); -1 <= Z <= +1: neutral; Z < -1: INR-weakening (momentum below average; hedge FX or reduce India overweight).
US_Cr1,IG Spread,US,Credit,,yield(ICE BofA US Corporate Index) - US 10-Year Treasury Yield,"ICE BofA US Corporate Index yield minus the 10-year Treasury yield is the standard US investment-grade (IG) spread, which widens when credit conditions tighten and macro expectations deteriorate.","Spread Z-score > +1.5 or level > ~200 bps: IG stress (de-risk IG credit, prefer Treasuries); -1 <= Z <= +1: normal IG risk; Z < -1 and level near historical lows: frothy IG (be cautious adding spread duration)."
US_Cr3,HY/IG Spread,US,Credit,,yield(ICE BofA US High Yield Index) - yield(ICE BofA US Corporate Index),"This measures the additional yield investors demand to own US high yield over investment-grade credit, indicating whether stress is concentrated in lower-quality credit.",Z > +1: quality discrimination (HY hit much harder than IG; late-cycle / rising default fears); -1 <= Z <= +1: normal tiering; Z < -1: unusually small HY–IG differential (markets complacent about credit risk).
US_R2,Yield-curve slope,US,Rates - Growth,,US 10-Year Treasury Yield - US 2-Year Treasury Yield,The 2s10s Treasury slope is a classic curve measure; inversions (2Y > 10Y) have historically preceded US recessions and reflect tight policy expectations versus long-run growth and inflation.,"Slope < 0: inverted / recession-watch; 0–50 bps: late-cycle / flat; >50 bps with Z > +1: early-cycle or reflation (steep curve; supportive of cyclicals, banks)."
US_R5,Real rates,US,Rates,,yield(ICE BofA US Inflation-Linked Treasury Index (TIPS)),The 10-year TIPS real yield is a clean proxy for the risk-free real rate that anchors valuations of long-duration assets and influences term premia.,"Z > +1: high real-rate regime (underweight duration and long-duration growth; overweight value/shorter duration); -1 <= Z <= +1: normal real-rate backdrop; Z < -1: low real-rate regime (supports gold, growth/quality, EM carry)."
US_R4,Inflation Breakeven,US,Rates - Inflation,,US 10-Year Treasury Yield - yield(ICE BofA US Inflation-Linked Treasury Index (TIPS)),The 10-year breakeven inflation rate is the market-implied average inflation where investors are indifferent between nominal Treasuries and TIPS.,"Z > +1: elevated inflation expectations (overweight real assets, inflation hedges; underweight long nominal duration); -1 <= Z <= +1: normal range; Z < -1: disinflation/deflation concern (duration and quality favoured)."
UK_R1,GB10Y vs DM10Y,UK,Rates - Growth,,UK 10-Year Gilt Yield - Germany 10-Year Bund Yield,The UK–Germany 10-year spread reflects relative inflation and term premia between the UK and core Eurozone and can proxy country-specific risk premia.,Z > +1: UK risk/inflation premium (caution on long gilts vs Bunds; supportive of weaker GBP vs EUR); -1 <= Z <= +1: normal differential; Z < -1: relative UK strength / Euro stress.
FX_CMD5,Growth / China infrastructure,FX & Commodities,Growth (China infra),,Iron Ore (World Bank Price Index) / Copper,"Both iron ore and copper are tied to construction and industrial activity, but iron ore is especially sensitive to China’s steel and infrastructure cycle.","Z > +1: China-centric infrastructure optimism (supportive for China-sensitive equities, miners, bulk shippers); Z < -1: China demand disappointment (caution on China/iron-ore-linked exposures)."
FX_CMD4,Growth / China vs global commodities,FX & Commodities,Growth (China broad),,Iron Ore (World Bank Price Index) / Invesco DB Commodity Index Fund,"This ratio shows how China-centric iron ore behaves relative to a diversified commodity basket, highlighting whether China is leading or lagging the global commodity cycle.",Z > +1: China-overweight commodity regime (China policy / construction leading the cycle); Z < -1: China-underweight regime (global commodities driven more by energy/ag or US demand than Chinese heavy industry).
US_JOBS1,Labour market / Leading,US,Macro,,Initial Jobless Claims 4-Week Avg (IC4WSA) – YoY % change and z-score,Rising claims typically lead downturns and are a strong leading indicator of labour-market and overall economic weakness.,"Z > +1: labour deteriorating (tighten credit/equity risk: underweight US HY and small caps, overweight defensives and duration); -1 <= Z <= +1: stable; Z < -1: very strong/overheating labour market."
US_JOBS3,Labour market composite,US,Macro,,"Equal-weighted composite of z-scores of inverted unemployment rate (UNRATE), payroll growth (PAYEMS YoY) and inverted IC4WSA","Combining unemployment, payroll growth and jobless claims approximates the Fed’s labour “heat” assessment and is central to policy and cycle risk.","Composite Z > +1: strong/tight labour (supports earnings and cyclicals but raises risk of further tightening); -1 <= Z <= +1: mid-cycle; Z < -1: weak labour (defensive tilt; favour duration, quality, low-vol)."
US_G6,Real activity / Growth,US,Macro,,Composite of z-scores of 12-month change in Industrial Production (INDPRO) and Retail Sales ex-Autos (RSXFS),"A production-and-consumption composite that tracks underlying real activity and demand, linking directly to cyclical sector performance.","Composite Z > +1: strong growth (overweight cyclicals and value, underweight long nominal duration); -1 <= Z <= +1: normal; Z < -1: weak growth (overweight defensives, quality, duration)."
US_HOUS1,Housing / Construction,US,Macro,TRUE,Building Permits (PERMIT) – 12-month % change and z-score,"Building permits are a leading indicator of housing and construction activity, a key transmission channel from rates to the real economy.","Z > +1: housing expanding (supportive of REITs, housing-related cyclicals and building materials); Z < -1: housing contracting (underweight REITs vs broad equity; favour defensives and duration)."
US_M2,Liquidity,US,Macro,,M2 Money Supply (M2SL) – YoY % change and z-score,"Rapid M2 growth tends to raise liquidity and is associated with stronger risk-asset performance and, with a lag, inflation pressures, whereas contraction or flat M2 has coincided with de-risking and valuation compression.","Z > +1: abundant liquidity (more tolerant of equity/credit/EM/crypto risk, overweight gold/real assets if inflation picking up); -1 <= Z <= +1: neutral; Z < -1: tight liquidity (favour quality, short duration, lower leverage, underweight EM/HY/crypto)."
GL_CLI1,Regional growth diff (US v EU),Global,CLI,TRUE,"USA_CLI minus avg(DEU_CLI, FRA_CLI). EA19 composite not available in OECD pull; DEU+FRA equal-weight average used as Eurozone proxy.",US vs Eurozone growth momentum differential. A positive reading means the US economic cycle is running ahead of Europe; a negative reading means Europe is catching up or leading. Directly informs US vs Eurozone equity allocation and USD vs EUR positioning over a 6-9 month horizon.,"Z > +1: US-leads-EU (tilt equity towards US vs Eurozone; supportive of USD vs EUR); -1 <= Z <= +1: neutral / converging; Z < -1: EU-leads-US (tilt towards Eurozone equities, supportive of EUR vs USD)."
GL_CLI2,Regional growth diff (US v CHN),Global,CLI,TRUE,USA_CLI minus CHN_CLI.,"US vs China growth momentum differential. Positive = US cycle outpacing China; negative = China leading. Directly informs US vs China equity allocation and positions in China-sensitive assets (commodities, AUD, EM).",Z > +1: US-leads-China (tilt equity towards US vs China/Asia; cautious on China-sensitive cyclicals); Z < -1: China-leads-US (favour China/Asia equities and China-sensitive commodities).
EU_CLI1,Europe block CLI state,Europe,CLI,TRUE,"Equal-weight average of DEU_CLI, FRA_CLI, GBR_CLI (ITA excluded — not consistently available in OECD pull).",Europe block leading indicator. Measures whether the major European economies are collectively running above or below their long-run trend. Above 100 signals European growth acceleration; below 100 signals deceleration. Useful for timing overweights and underweights of European equities and EUR assets at the regional level.,"CLI average > 100 and Z > +1: EU-above-trend (overweight European cyclicals and EUR-denominated assets); CLI around 100, |Z| <= 1: near-trend / neutral; CLI < 100 and Z < -1: EU-below-trend (underweight Europe, reduce EUR risk)."
AS_CLI1,Asia (China-centred) CLI state,Asia,CLI,TRUE,"Equal-weight average of CHN_CLI, JPN_CLI, AUS_CLI.","Asia-Pacific block leading indicator combining China, Japan and Australia, the three major OECD-tracked economies in the region. AUS CLI reflects commodity-export demand, amplifying the China signal. Above 100 signals Asia above trend, supporting regional equities and commodity-linked assets.","CLI average > 100 and Z > +1: Asia-above-trend (overweight Asia equities and China-sensitive global cyclicals); |Z| <= 1: near-trend / neutral; CLI < 100 and Z < -1: Asia-below-trend (underweight Asia risk, emphasise DM equities)."
GL_CLI5,Global growth breadth,Global,CLI,TRUE,"Fraction of 9 countries (USA, DEU, FRA, GBR, ITA, JPN, CHN, AUS, CAN) where CLI > 100 AND CLI > CLI_26W_ago (above trend and improving simultaneously). Raw value = 0.0 to 1.0.",Global growth diffusion index. Measures how broad the current expansion or contraction is across major economies. A reading above 0.7 means at least 6-7 of 9 economies are simultaneously above trend and accelerating — a robust global bull signal. Below 0.4 means contraction is becoming widespread — a defensive signal for all risk assets.,"Fraction >= 0.7: broad-expansion (raise global equity beta; overweight EM, cyclicals, HY); 0.4–0.7: mixed (selective; focus on regions confirmed by REG_CLI1–4); < 0.4: contracting (de-risk beta; favour quality, IG, core govts)."
US_CLI1,US CLI state,US,CLI,TRUE,USA_CLI (OECD amplitude-adjusted composite leading indicator).,"US leading indicator. Above 100 signals US growth running above long-run trend; below 100 signals below-trend momentum. Replaces the discontinued FRED USSLIND (Philly Fed LEI) with the OECD CLI, which is still actively published.","CLI > 100 and Z > +1: US-above-trend (overweight US cyclicals and risk assets); |Z| <= 1: near-trend / neutral; CLI < 100 and Z < -1: US-below-trend (underweight US beta, favour defensives/duration)."
CA_CLI1,Canada CLI state,Global,CLI,TRUE,CAN_CLI (OECD amplitude-adjusted composite leading indicator).,"Canada leading indicator. Commodity- and US-trade-sensitive; often leads CAD and TSX cyclical sector performance. Above 100 signals above-trend Canadian growth; below 100 signals deceleration.","Z > +1: Canada-above-trend (supportive of CAD, TSX cyclicals, commodity exporters); |Z| <= 1: near-trend; Z < -1: Canada-below-trend (reduce CAD and commodity-equity risk)."
DE_CLI1,Germany CLI state,Europe,CLI,TRUE,DEU_CLI (OECD amplitude-adjusted composite leading indicator).,"Germany leading indicator — the export-heavy core of the Eurozone cycle. Above 100 signals German growth above trend (supportive of DAX industrials and EUR); below 100 signals deceleration.","Z > +1: Germany-above-trend (overweight German/EU cyclicals, supportive of EUR); |Z| <= 1: near-trend; Z < -1: Germany-below-trend (reduce Eurozone cyclical risk)."
FR_CLI1,France CLI state,Europe,CLI,TRUE,FRA_CLI (OECD amplitude-adjusted composite leading indicator).,"France leading indicator — second-largest Eurozone economy; more services- and consumer-weighted than Germany. Complements DE_CLI1 for a balanced EU core cycle read.","Z > +1: France-above-trend (supportive of CAC 40, EU consumer/services); |Z| <= 1: near-trend; Z < -1: France-below-trend."
UK_CLI1,UK CLI state,UK,CLI,TRUE,GBR_CLI (OECD amplitude-adjusted composite leading indicator).,"UK leading indicator. Above 100 signals UK growth above trend (supportive of FTSE 250 domestic cyclicals and GBP); below 100 signals deceleration. Complements UK_R1/UK_R2 for a rounded UK macro view.","Z > +1: UK-above-trend (overweight UK domestic cyclicals, supportive of GBP); |Z| <= 1: near-trend; Z < -1: UK-below-trend (favour global-earners, reduce GBP risk)."
IT_CLI1,Italy CLI state,Europe,CLI,TRUE,ITA_CLI (OECD amplitude-adjusted composite leading indicator).,"Italy leading indicator — third-largest Eurozone economy; strongly correlated with periphery-spread regimes. Useful as a check on EU_CLI1 and as a component in periphery-vs-core rotation calls.","Z > +1: Italy-above-trend (supportive of FTSE MIB, tighter BTP-Bund spreads); |Z| <= 1: near-trend; Z < -1: Italy-below-trend (periphery stress watch)."
JP_CLI1,Japan CLI state,Japan,CLI,TRUE,JPN_CLI (OECD amplitude-adjusted composite leading indicator).,"Japan leading indicator. Above 100 signals Japanese growth above trend (supportive of TOPIX and Nikkei cyclicals); below 100 signals deceleration. Combines with yield-differential signals for JPY positioning.","Z > +1: Japan-above-trend (overweight Japanese equities); |Z| <= 1: near-trend; Z < -1: Japan-below-trend (reduce Japan cyclical risk)."
CN_CLI1,China CLI state,Asia,CLI,TRUE,CHN_CLI (OECD amplitude-adjusted composite leading indicator).,"China leading indicator. Drives global commodity demand and EM risk appetite. Above 100 signals China growth above trend (bullish for commodities, AUD, EM equities); below 100 signals deceleration.","Z > +1: China-above-trend (overweight China/EM equities and commodity exporters); |Z| <= 1: near-trend; Z < -1: China-below-trend (defensive on EM, commodities, AUD)."
AU_CLI1,Australia CLI state,Asia,CLI,TRUE,AUS_CLI (OECD amplitude-adjusted composite leading indicator).,"Australia leading indicator — commodity-export-sensitive; often amplifies the China signal. Useful as an early confirm for commodity-cycle turns and AUD direction.","Z > +1: Australia-above-trend (supportive of ASX cyclicals, AUD, commodity exporters); |Z| <= 1: near-trend; Z < -1: Australia-below-trend."
US_G3,Growth / banks vs utilities,US,Equity - Growth,,S&P 500 Banks (^SP500-4010) / S&P 500 Utilities,Banks vs utilities isolates the credit-cycle and yield-curve signal more directly than broad financials (XLF) which includes insurance and fintech. Banks outperformance signals risk-on and credit-friendly conditions; utilities leadership is typically defensive.,Z > +1: risk-on (banks lead); -1 <= Z <= +1: neutral; Z < -1: defensive (utilities lead).
US_EQ_F4,Size cycle (S&P),US,Equity - Factor (Size),,Russell 2000 / S&P 500,"Small caps (IWM) vs S&P 500 as a size-cycle proxy. Unlike US_G3 (IWM/IWB), this ratio benchmarks against the flagship large-cap index directly.",Z > +1: small-cap leadership (early/mid-cycle); Z < -1: large-cap safety (late-cycle/tightening).
US_EQ_F2,Style / value vs growth (S&P 500),US,Equity - Factor (Style),,S&P 500 Value ETF (IVE) / S&P 500 Growth ETF (IVW),S&P 500 value vs growth variant. Matches the construction of US_EQ_F1 (value/growth) but uses S&P 500 style ETFs instead of Russell 1000.,Z > +1: value/reflation regime (OW value); -1 <= Z <= +1: mixed; Z < -1: growth/low-rate regime (OW growth).
US_R3,Yield-curve slope (market return),US,Rates - Growth,,US 10-Year Treasury Yield (^TNX yfinance) minus US 2-Year Treasury Yield (DGS2 FRED),Market-price-based 2s10s yield curve slope using the yfinance 10Y yield and FRED 2Y yield. Complement to US_I6 which uses the FRED T10Y2Y series directly.,Same as US_I6: slope < 0: inverted / recession-watch; slope > 0.5 and Z > +1: steep / early-cycle; Z < -1: flat / late-cycle.
US_CA_G1,Risk-on vs risk-off,US,CrossAsset - Growth,,S&P 500 ETF (SPY) / ICE BofA US Treasury Index (GOVT),The simplest risk-on / risk-off ratio: equities vs government bonds. A rising ratio signals risk appetite; a falling ratio signals flight to safety.,Z > +1: risk-on (equities outperform bonds); -1 <= Z <= +1: neutral; Z < -1: risk-off (bonds outperform equities).
US_Cr4,HY vs treasuries (credit risk),US,Credit,,iShares USD High Yield Corp Bond UCITS ETF (IHYU.L) / ICE BofA US Treasury Index (GOVT),High yield vs treasuries captures the broadest credit risk appetite signal: whether investors prefer riskier credit or safe-haven government bonds.,Z > +1: credit risk appetite (carry regime); -1 <= Z <= +1: neutral; Z < -1: flight to quality (stress).
US_G5,Growth / technology leadership,US,Equity - Growth,,Invesco QQQ Trust (QQQ) / SPDR S&P 500 ETF (SPY),"NASDAQ-100 vs S&P 500 log-ratio. Rising ratio signals technology and growth-factor leadership; falling ratio signals rotation toward defensives, value or small caps. At extremes, elevated ratio is a late-cycle concentration warning.","Z > +1: tech-led expansion (OW tech, growth, momentum); -1 <= Z <= +1: neutral; Z < -1: defensive rotation (favour value, staples, small caps)."
US_G4,Growth / market breadth,US,Equity - Growth,,S&P 500 Equal-Weight ETF (RSP) / SPDR S&P 500 ETF (SPY),"Equal-weight vs cap-weight ratio measures the breadth of the rally. When RSP outperforms SPY, the advance is broadly-based. When SPY outperforms, returns are driven by a handful of mega-caps — historically a late-cycle warning signal.","Z > +1: broad rally (healthy, dip-buyable); -1 <= Z <= +1: neutral; Z < -1: narrow/concentrated rally (late-cycle, tail-risk watch)."
