series_id,col,name,category,subcategory,units,frequency,country,notes,sort_key,concept,cycle_timing,freshness_override_days,is_historical_anchor,next_expected_release
DEU|ltrate,DEU_LTRATE_JST,Germany Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,DEU,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4.,811,Rates / Yields,C,730,true,2026-12-31
FRA|cpi,FRA_CPI_JST,France Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,FRA,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3.,812,Inflation,G,730,true,2026-12-31
FRA|gdp,FRA_GDP_JST,France Nominal GDP (JST Macrohistory),National Accounts,Activity,EUR millions (nominal),Annual,FRA,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",813,Growth,C,730,true,2026-12-31
FRA|eq_tr,FRA_EQUITY_TR_JST,France Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,FRA,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5.,814,Equity,L,730,true,2026-12-31
FRA|ltrate,FRA_LTRATE_JST,France Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,FRA,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4.,815,Rates / Yields,C,730,true,2026-12-31
JPN|cpi,JPN_CPI_JST,Japan Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,JPN,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3.,816,Inflation,G,730,true,2026-12-31
JPN|gdp,JPN_GDP_JST,Japan Nominal GDP (JST Macrohistory),National Accounts,Activity,JPY millions (nominal),Annual,JPN,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",817,Growth,C,730,true,2026-12-31
JPN|eq_tr,JPN_EQUITY_TR_JST,Japan Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,JPN,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5.,818,Equity,L,730,true,2026-12-31
JPN|ltrate,JPN_LTRATE_JST,Japan Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,JPN,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4.,819,Rates / Yields,C,730,true,2026-12-31
ITA|cpi,ITA_CPI_JST,Italy Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,ITA,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3. Priority-10 extension.,820,Inflation,G,730,true,2026-12-31
ITA|gdp,ITA_GDP_JST,Italy Nominal GDP (JST Macrohistory),National Accounts,Activity,EUR millions (nominal),Annual,ITA,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. Priority-10 extension. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",821,Growth,C,730,true,2026-12-31
ITA|eq_tr,ITA_EQUITY_TR_JST,Italy Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,ITA,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5. Priority-10 extension.,822,Equity,L,730,true,2026-12-31
ITA|ltrate,ITA_LTRATE_JST,Italy Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,ITA,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4. Priority-10 extension.,823,Rates / Yields,C,730,true,2026-12-31
CAN|cpi,CAN_CPI_JST,Canada Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,CAN,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3. Priority-10 extension.,824,Inflation,G,730,true,2026-12-31
CAN|gdp,CAN_GDP_JST,Canada Nominal GDP (JST Macrohistory),National Accounts,Activity,CAD millions (nominal),Annual,CAN,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. Priority-10 extension. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",825,Growth,C,730,true,2026-12-31
CAN|ltrate,CAN_LTRATE_JST,Canada Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,CAN,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4. Priority-10 extension.,827,Rates / Yields,C,730,true,2026-12-31
AUS|cpi,AUS_CPI_JST,Australia Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,AUS,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3. Priority-10 extension.,828,Inflation,G,730,true,2026-12-31
AUS|gdp,AUS_GDP_JST,Australia Nominal GDP (JST Macrohistory),National Accounts,Activity,AUD millions (nominal),Annual,AUS,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. Priority-10 extension. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",829,Growth,C,730,true,2026-12-31
AUS|eq_tr,AUS_EQUITY_TR_JST,Australia Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,AUS,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5. Priority-10 extension.,830,Equity,L,730,true,2026-12-31
AUS|ltrate,AUS_LTRATE_JST,Australia Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,AUS,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4. Priority-10 extension.,831,Rates / Yields,C,730,true,2026-12-31
NLD|cpi,NLD_CPI_JST,Netherlands Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,NLD,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3. Priority-10 extension.,832,Inflation,G,730,true,2026-12-31
NLD|gdp,NLD_GDP_JST,Netherlands Nominal GDP (JST Macrohistory),National Accounts,Activity,EUR millions (nominal),Annual,NLD,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. Priority-10 extension. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",833,Growth,C,730,true,2026-12-31
NLD|eq_tr,NLD_EQUITY_TR_JST,Netherlands Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,NLD,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5. Priority-10 extension.,834,Equity,L,730,true,2026-12-31
NLD|ltrate,NLD_LTRATE_JST,Netherlands Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,NLD,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4. Priority-10 extension.,835,Rates / Yields,C,730,true,2026-12-31
CHE|cpi,CHE_CPI_JST,Switzerland Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,CHE,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3. Priority-10 extension.,836,Inflation,G,730,true,2026-12-31
CHE|gdp,CHE_GDP_JST,Switzerland Nominal GDP (JST Macrohistory),National Accounts,Activity,CHF millions (nominal),Annual,CHE,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. Priority-10 extension. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",837,Growth,C,730,true,2026-12-31
CHE|eq_tr,CHE_EQUITY_TR_JST,Switzerland Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,CHE,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5. Priority-10 extension.,838,Equity,L,730,true,2026-12-31
CHE|ltrate,CHE_LTRATE_JST,Switzerland Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,CHE,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4. Priority-10 extension.,839,Rates / Yields,C,730,true,2026-12-31
