indicator,pillar,sub_group,cycle_timing_prior,region,regional_analogue,requested_source_freq,lag,status,pipeline_match,pipeline_source,candidate_free_source,notes
Conference Board LEI,Growth,Forward-Looking (Tier 1-2),Leading,US,Conference Board LEI (US),Conference Board / monthly,3-4 weeks,Partial,CFNAI (proxy); US_CLI1,FRED / OECD,Conference Board LEI is proprietary,CB LEI itself is paywalled. Pipeline carries CFNAI and OECD CLI as free leading-composite proxies.
Conference Board LEI,Growth,Forward-Looking (Tier 1-2),Leading,UK,UK national LEI,Conference Board / monthly,3-4 weeks,Partial,UK_CLI1 (OECD CLI proxy),OECD,Conference Board UK LEI is proprietary,OECD CLI substitutes for the proprietary national LEI.
Conference Board LEI,Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,DE national LEI,Conference Board / monthly,3-4 weeks,Partial,DE_CLI1; DE_IFO1; DE_ZEW1,OECD / ifo,National LEIs proprietary,ifo and ZEW composites plus OECD CLI cover the German leading signal. Spec: none for Asia.
M2 Money Supply (YoY%),Growth,Forward-Looking (Tier 1-2),Leading,US,US M2 YoY,Federal Reserve / monthly,4-6 weeks,Covered,M2SL; US_M2,FRED,,
M2 Money Supply (YoY%),Growth,Forward-Looking (Tier 1-2),Leading,UK,UK M4,Federal Reserve / monthly,4-6 weeks,Missing-Sourceable,,,BoE M4 (IADB LPMVWYH) - free,Not in pipeline; BoE publishes M4 free via IADB.
M2 Money Supply (YoY%),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,EZ M3,Federal Reserve / monthly,4-6 weeks,Covered,MABMM301EZM189S,FRED,,Catalogued (Bucket A). VERIFY id on first fetch.
M2 Money Supply (YoY%),Growth,Forward-Looking (Tier 1-2),Leading,Japan,JP M2,Federal Reserve / monthly,4-6 weeks,Covered,MYAGM2JPM189S,FRED,,Catalogued (Bucket A). VERIFY N/S suffix on first fetch.
M2 Money Supply (YoY%),Growth,Forward-Looking (Tier 1-2),Leading,China,CN M2,Federal Reserve / monthly,4-6 weeks,Covered,MYAGM2CNM189N,FRED,,China M2 YoY already in pipeline.
NAHB Housing Market Index,Growth,Forward-Looking (Tier 1-2),Leading,US,NAHB HMI,NAHB / monthly,Mid-month,Covered,NAHBSHF; PERMIT; US_HOUS1; US_R6,FRED,,"NAHB HMI catalogued (Bucket A, NAHBSHF). VERIFY id on first fetch. Permits/mortgage-spread already present."
NAHB Housing Market Index,Growth,Forward-Looking (Tier 1-2),Leading,UK,RICS Housing Survey,NAHB / monthly,Mid-month,Missing-Hard,,,RICS survey is paywalled,RICS is proprietary. Free proxy: ONS/Land Registry house-price index (not in pipeline).
NAHB Housing Market Index,Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,ifo Construction,NAHB / monthly,Mid-month,Covered,ifo Construction Climate/Expectations/Situation,ifo,,Full ifo construction survey already in pipeline.
Building Permits (SAAR),Growth,Forward-Looking (Tier 1-2),Leading,US,US Building Permits,Census Bureau / monthly,4 weeks,Covered,PERMIT; US_HOUS1,FRED,,
Building Permits (SAAR),Growth,Forward-Looking (Tier 1-2),Leading,UK,ONS housing permits / starts,Census Bureau / monthly,4 weeks,Missing-Sourceable,,,MHCLG dwelling starts (not on ONS timeseries API),"UK new-build starts are published by MHCLG, not via the ONS timeseries (Zebedee) API the fetcher uses. Needs a separate MHCLG source or CMD path. Deferred."
Building Permits (SAAR),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,DE Bauantraege (Destatis),Census Bureau / monthly,4 weeks,Missing-Sourceable,,,Destatis building permits / Eurostat sts_cobp_m - free,Not in pipeline; Eurostat construction-permits series free.
Senior Loan Officer Survey (SLOOS),Growth,Forward-Looking (Tier 1-2),Leading,US,Fed SLOOS net tightening,Federal Reserve / quarterly,Quarterly,Covered,DRTSCILM; DRTSCIS; DRTSCLCC; STDSOTHCONS,FRED,,Full SLOOS tightening suite in pipeline.
Senior Loan Officer Survey (SLOOS),Growth,Forward-Looking (Tier 1-2),Leading,UK,BoE Credit Conditions Survey,Federal Reserve / quarterly,Quarterly,Missing-Sourceable,,,BoE Credit Conditions Survey - free (published data),"Not in pipeline; BoE publishes free, though programmatic access is via spreadsheet, not API."
Senior Loan Officer Survey (SLOOS),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,ECB Bank Lending Survey,Federal Reserve / quarterly,Quarterly,Missing-Sourceable,,,ECB BLS dataset (free); exact net-% key pending,"Free via ECB Data Portal, dataflow BLS (10 dims). Net-% series use BLS_ITEM=APP + agg WFNET (e.g. BLS/Q.U2.ALL.APP.E.O.B6.ST.S.WFNET backward / .F6. forward); BLS_ITEM=LEV gives only count aggregations. Canonical 'net % tightening, enterprises, 3m' not yet pinned — deferred to avoid a wrong series."
Senior Loan Officer Survey (SLOOS),Growth,Forward-Looking (Tier 1-2),Leading,Japan,BoJ Tankan lending attitude,Federal Reserve / quarterly,Quarterly,Partial,BoJ Tankan DIs,BoJ,BoJ Tankan lending-attitude DI - free,Tankan business-conditions DIs in pipeline; the dedicated lending-attitude DI is free but not yet fetched.
ISM Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,ISM Manufacturing PMI,ISM / monthly,1st business day,Covered,ISM/pmi/pm; US_PMI1,DB.nomics,,
ISM Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,UK,S&P Global / CIPS UK Mfg PMI,ISM / monthly,1st business day,Partial,UK_PMI1 (OECD BCI proxy),OECD,S&P Global UK PMI is proprietary,Actual PMI paywalled; OECD BCI used as free proxy.
ISM Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,Eurozone,HCOB Eurozone Mfg PMI,ISM / monthly,1st business day,Partial,EU_PMI1 (EC Industry Confidence proxy),DB.nomics,S&P Global EZ PMI is proprietary,EC Industry Confidence used as free proxy.
ISM Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,Japan,Japan Tankan / au Jibun Mfg PMI,ISM / monthly,1st business day,Covered,BoJ Tankan; JP_PMI1,BoJ,,Tankan large-mfg DI is the free Japan PMI substitute.
ISM Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,China,Caixin / NBS Mfg PMI,ISM / monthly,1st business day,Partial,CN_PMI1; CN_PMI2 (OECD BCI proxies),OECD,NBS PMI free; Caixin proprietary,OECD-standardised NBS proxy in pipeline; raw NBS PMI is free but not directly fetched.
ISM New Orders minus Inventories,Growth,Business-Cycle Confirmer (Tier 3),Leading,US,ISM New Orders - Inventories,ISM (calculated),1st business day,Covered,US_ISM2 (composite); ISM/neword/in; ISM/inventories/in,DB.nomics / composite,,Fully implemented (Bucket D): US_ISM2 composite computes the New Orders minus Inventories spread with regime thresholds (orders-outpacing / balanced / inventory-overhang). Populates once the inventories series is first fetched.
ISM New Orders minus Inventories,Growth,Business-Cycle Confirmer (Tier 3),Leading,UK,UK PMI sub-indices,ISM (calculated),1st business day,Missing-Hard,,,S&P Global PMI sub-indices proprietary,Sub-indices paywalled.
ISM New Orders minus Inventories,Growth,Business-Cycle Confirmer (Tier 3),Leading,Eurozone,EZ PMI sub-indices,ISM (calculated),1st business day,Missing-Hard,,,S&P Global PMI sub-indices proprietary,Sub-indices paywalled.
JP Morgan Global Manufacturing PMI,Growth,Business-Cycle Confirmer (Tier 3),Coincident,Global,JPM Global Mfg PMI,JP Morgan / S&P / monthly,1st business day,Covered,GL_PMI1,pipeline composite,JPM/S&P global PMI proprietary,Proprietary index; GL_PMI1 is the 4-region equal-weight free substitute (spec calls it out explicitly).
ISM Services PMI (NMI),Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,ISM Services PMI,ISM / monthly,3rd business day,Covered,ISM/nm-pmi/pm; US_SVC1,DB.nomics,,
ISM Services PMI (NMI),Growth,Business-Cycle Confirmer (Tier 3),Coincident,UK,S&P Global UK Services PMI,ISM / monthly,3rd business day,Missing-Hard,,,S&P Global UK Services PMI proprietary,No clean free UK services-PMI proxy; UK_PMI1 is manufacturing only.
ISM Services PMI (NMI),Growth,Business-Cycle Confirmer (Tier 3),Coincident,Eurozone,HCOB EZ Services PMI,ISM / monthly,3rd business day,Partial,EU_PMI2 (EC Services Confidence proxy),DB.nomics,S&P Global EZ Services PMI proprietary,EC Services Confidence used as free proxy.
Philadelphia Fed Manufacturing Survey,Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,Philly Fed Mfg,Philadelphia Fed / monthly,3rd Thursday,Covered,GACDFSA066MSFRBPHI,FRED,,No regional analogue (spec: none).
Empire State Manufacturing Survey,Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,Empire State Mfg,NY Fed / monthly,2nd Monday,Covered,GACDISA066MSFRBNY,FRED,,No regional analogue (spec: none).
Consumer Confidence (Conference Board),Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,Conference Board Consumer Confidence,Conference Board / monthly,Last Tuesday,Partial,UMCSENT (UMich proxy),FRED,Conference Board CC is proprietary,CB Consumer Confidence paywalled; UMich Consumer Sentiment is the free US substitute.
Consumer Confidence (Conference Board),Growth,Business-Cycle Confirmer (Tier 3),Coincident,UK,GfK Consumer Confidence,Conference Board / monthly,Last Tuesday,Covered,CSCICP02GBM460S,FRED/OECD,,OECD-based UK consumer confidence in pipeline (GfK itself proprietary).
Consumer Confidence (Conference Board),Growth,Business-Cycle Confirmer (Tier 3),Coincident,Eurozone,EC Consumer Confidence,Conference Board / monthly,Last Tuesday,Covered,EU_ESI1; EC sentiment indicators,DB.nomics,,EC consumer/ESI confidence in pipeline.
Consumer Confidence (Conference Board),Growth,Business-Cycle Confirmer (Tier 3),Coincident,Japan,JP Cabinet Office Consumer Confidence,Conference Board / monthly,Last Tuesday,Covered,CSCICP02JPM460S; Economy Watchers Survey,FRED / e-Stat,,
Initial Jobless Claims,Growth,Business-Cycle Confirmer (Tier 3),Coincident,US,US Initial Claims (4wk MA),Department of Labor / weekly,Thursday,Covered,IC4WSA; US_JOBS1,FRED,,
Initial Jobless Claims,Growth,Business-Cycle Confirmer (Tier 3),Coincident,UK,ONS Claimant Count,Department of Labor / weekly,Thursday,Covered,employmentandlabourmarket/peoplenotinwork/outofworkbenefits/timeseries/bcjd/unem,ONS,,"Catalogued (Bucket C): ONS Total Claimant Count UK SA (BCJD, dataset 'unem'; 'lms' edition frozen 2017). Verified live. Monthly, not weekly."
Initial Jobless Claims,Growth,Business-Cycle Confirmer (Tier 3),Coincident,Eurozone,DE/FR/IT unemployment claims,Department of Labor / weekly,Thursday,Partial,OECD UNEMPLOYMENT; national unemployment rates,OECD,BA (DE) registered unemployment - free,Unemployment-rate levels in pipeline; high-frequency claims not (varying national frequency).
Nonfarm Payrolls (MoM change),Growth,Coincident Real-Time (Tier 3-4),Lagging,US,US Nonfarm Payrolls,BLS / monthly,1st Friday,Covered,PAYEMS,FRED,,
Nonfarm Payrolls (MoM change),Growth,Coincident Real-Time (Tier 3-4),Lagging,UK,ONS payrolled employees,BLS / monthly,1st Friday,Missing-Sourceable,UK Employment Rate (related),ONS,"ONS PAYE RTI (CMD datasets API, not classic timeseries)","PAYE RTI payrolls are not in the classic ONS timeseries (Zebedee) API the fetcher uses — they live in the newer CMD datasets API. Needs a CMD-fetch path, or use LFS employment level as a proxy. Deferred."
Nonfarm Payrolls (MoM change),Growth,Coincident Real-Time (Tier 3-4),Lagging,Eurozone,DE/FR employment,BLS / monthly,1st Friday,Partial,Eurozone Employment (DBnomics); OECD,DB.nomics,Eurostat lfsi_emp_m - free,Quarterly employment in pipeline; monthly employment-change limited.
Nonfarm Payrolls (MoM change),Growth,Coincident Real-Time (Tier 3-4),Lagging,Japan,JP employment,BLS / monthly,1st Friday,Partial,OECD UNEMPLOYMENT (JP),OECD,e-Stat Labour Force Survey - free,Unemployment in pipeline; employment-change not.
Industrial Production (YoY%),Growth,Coincident Real-Time (Tier 3-4),Coincident,US,US IP,Federal Reserve / monthly,~2 weeks,Covered,INDPRO,FRED,,
Industrial Production (YoY%),Growth,Coincident Real-Time (Tier 3-4),Coincident,UK,ONS Index of Production,Federal Reserve / monthly,~2 weeks,Covered,UK Index of Production (B-E),ONS,,
Industrial Production (YoY%),Growth,Coincident Real-Time (Tier 3-4),Coincident,Eurozone,Eurostat IPI,Federal Reserve / monthly,~2 weeks,Covered,Eurozone IP; Germany IP,DB.nomics,,
Industrial Production (YoY%),Growth,Coincident Real-Time (Tier 3-4),Coincident,Japan,METI IIP,Federal Reserve / monthly,~2 weeks,Covered,JPNPROINDMISMEI,FRED,,
Industrial Production (YoY%),Growth,Coincident Real-Time (Tier 3-4),Coincident,China,NBS IP,Federal Reserve / monthly,~2 weeks,Covered,CHNPRINTO01IXPYM,FRED,,
"Retail Sales (MoM%, ex autos)",Growth,Coincident Real-Time (Tier 3-4),Coincident,US,US Retail Sales ex-autos,Census Bureau / monthly,~2 weeks,Covered,RSXFS; RSFSXMV (control),FRED,,
"Retail Sales (MoM%, ex autos)",Growth,Coincident Real-Time (Tier 3-4),Coincident,UK,ONS Retail Sales,Census Bureau / monthly,~2 weeks,Covered,UK Retail Sales Index (Volume),ONS,,
"Retail Sales (MoM%, ex autos)",Growth,Coincident Real-Time (Tier 3-4),Coincident,Eurozone,Eurostat retail trade,Census Bureau / monthly,~2 weeks,Covered,Eurozone Retail Sales Volume,DB.nomics,,
"Retail Sales (MoM%, ex autos)",Growth,Coincident Real-Time (Tier 3-4),Coincident,Japan,METI retail,Census Bureau / monthly,~2 weeks,Covered,Japan Retail Sales (METI),e-Stat,,
Real GDP (advance estimate),Growth,Coincident Real-Time (Tier 3-4),Lagging,US,US Real GDP,BEA / quarterly,~4 weeks,Covered,IMF NGDP_RPCH; JST USA|gdp; nowcasts,IMF / JST,BEA GDP (FRED GDPC1) - free,Annual/long-run GDP in pipeline; quarterly advance via FRED GDPC1 free (nowcasts US_GDPNOW1/US_NOWCAST1 cover real-time).
Real GDP (advance estimate),Growth,Coincident Real-Time (Tier 3-4),Lagging,UK,ONS GDP,BEA / quarterly,~4 weeks,Covered,UK Monthly Real GDP; UK_NOWCAST1,ONS,,
Real GDP (advance estimate),Growth,Coincident Real-Time (Tier 3-4),Lagging,Eurozone,Eurostat GDP,BEA / quarterly,~4 weeks,Covered,IMF NGDP; EU_NOWCAST1,IMF / DB.nomics,Eurostat namq_10_gdp - free,
Real GDP (advance estimate),Growth,Coincident Real-Time (Tier 3-4),Lagging,Japan,Cabinet Office GDP,BEA / quarterly,~4 weeks,Covered,IMF NGDP; JST; JP_NOWCAST1,IMF / JST,,
Real GDP (advance estimate),Growth,Coincident Real-Time (Tier 3-4),Lagging,China,NBS GDP,BEA / quarterly,~4 weeks,Partial,IMF NGDP_RPCH (annual),IMF,NBS quarterly GDP - free,Only annual IMF GDP in pipeline; quarterly NBS free but not fetched.
Atlanta Fed GDPNow,Growth,Coincident Real-Time (Tier 3-4),Coincident,US,Atlanta Fed GDPNow,Atlanta Fed / continuous,Real-time,Covered,gdpnow_us_qoq_saar; US_GDPNOW1; US_NOWCAST1 (NY Fed),AtlantaFed / NYFed,,
Atlanta Fed GDPNow,Growth,Coincident Real-Time (Tier 3-4),Coincident,UK,ONS monthly GDP,Atlanta Fed / continuous,Real-time,Covered,UK_NOWCAST1,ONS,,ONS monthly GDP is the UK real-time growth signal.
Atlanta Fed GDPNow,Growth,Coincident Real-Time (Tier 3-4),Coincident,Eurozone,CEPR Eurocoin,Atlanta Fed / continuous,Real-time,Covered,EU_NOWCAST1,pipeline composite,Eurocoin (CEPR) - free,EU nowcast composite in pipeline as Eurocoin substitute.
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,US,Chicago Fed NFCI,Chicago Fed / weekly,Friday,Covered,NFCI,FRED,,
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,UK,BoE FCI,Chicago Fed / weekly,Friday,Missing-Hard,,,BoE FCI not freely programmatic,BoE FCI published only occasionally; no clean free feed.
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,Eurozone,ECB CISS,Chicago Fed / weekly,Friday,Covered,CISS/D.U2.Z0Z.4F.EC.SS_CIN.IDX,ECB,,"Catalogued (Bucket C), ECB CISS, verified live. Shared by the GS-FCI and Bloomberg-FCI EZ rows."
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,Japan,(none clean),Chicago Fed / weekly,Friday,Missing-Hard,,,No clean free JP FCI,Spec: no clean JP analogue.
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,China,(none clean),Chicago Fed / weekly,Friday,Missing-Hard,,,No clean free CN FCI,Spec: no clean CN analogue.
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,US,US CPI,BLS / monthly,~2 weeks,Covered,CUSR0000SA0; US_INFL1,BLS,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,UK,ONS CPI,BLS / monthly,~2 weeks,Covered,UK CPI (ONS/FRED); UK_INFL1,ONS / FRED,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,Eurozone,Eurostat HICP,BLS / monthly,~2 weeks,Covered,Eurozone HICP; EU_INFL1,DB.nomics,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,Japan,MIC CPI,BLS / monthly,~2 weeks,Covered,JP CPI; JP_INFL1,World Bank / JST,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,China,NBS CPI,BLS / monthly,~2 weeks,Covered,CHNCPIALLMINMEI; CN_INFL1,FRED,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,US,US Core CPI,BLS / monthly,~2 weeks,Covered,CUSR0000SA0L1E,BLS,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,UK,ONS Core CPI,BLS / monthly,~2 weeks,Covered,UK Core CPI Annual Rate,ONS,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,Eurozone,Core HICP,BLS / monthly,~2 weeks,Covered,Eurozone Core HICP,DB.nomics,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,Japan,JP Core CPI,BLS / monthly,~2 weeks,Covered,Japan Core CPI YoY,DB.nomics,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,China,NBS Core CPI,BLS / monthly,~2 weeks,Partial,CN_INFL1 (CPI+PPI blend),FRED,NBS core CPI - free (limited history),China core CPI thin; CN_INFL1 blends headline CPI and PPI instead.
PCE Deflator (Core),Inflation,Official Inflation,Lagging,US,US Core PCE,BEA / monthly,~5 weeks,Covered,PCEPILFE,FRED,,US-specific Fed measure; no regional analogue (spec: none).
Trimmed Mean / Median CPI,Inflation,Official Inflation,Lagging,US,Cleveland Median / Trimmed-Mean CPI,Cleveland / Dallas Fed,~2 weeks,Covered,MEDCPIM158SFRBCLE; TRMMEANCPIM158SFRBCLE; PCETRIM12M159SFRBDAL,FRED,,Catalogued (Bucket A): Cleveland median + 16% trimmed-mean CPI and Dallas trimmed PCE. VERIFY ids on first fetch. No regional analogue (spec: none).
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,US,US PPI,BLS / monthly,~2 weeks,Covered,PPIACO (All Commodities),FRED,FRED PPIFIS (Final Demand) - free,All-Commodities PPI in pipeline; Final-Demand variant free on FRED if exact definition needed.
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,UK,ONS PPI,BLS / monthly,~2 weeks,Covered,economy/inflationandpriceindices/timeseries/gd6y/ppi,ONS,,"Catalogued (Bucket C): ONS PPI output, all manufactured products (GD6Y, dataset 'ppi'; mm22 edition frozen 2020). Index; YoY downstream. Verified live."
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,Eurozone,Eurostat PPI,BLS / monthly,~2 weeks,Missing-Sourceable,,,Eurostat sts_inpp_m - free,Not in pipeline; Eurostat PPI free.
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,Japan,BoJ PPI,BLS / monthly,~2 weeks,Covered,Japan PPI (All Commodities); Japan Services PPI,BoJ,,
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,China,NBS PPI,BLS / monthly,~2 weeks,Covered,CHNPIEATI01GYM,FRED,,
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,US,US 5y breakeven,FRED / daily,Real-time,Covered,T5YIE,FRED,,
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,UK,UK linker breakeven,FRED / daily,Real-time,Covered,UK_R2 (gilt-linker breakeven),pipeline composite,,"5y/10y not split, but UK breakeven covered."
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Eurozone,OATei / Bundei breakeven,FRED / daily,Real-time,Missing-Sourceable,,,ECB / Eurostat HICP-linked yields - free (limited),Not in pipeline; EZ linker breakevens partially free via ECB.
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,US,US 10y breakeven,FRED / daily,Real-time,Covered,T10YIE; US_R4,FRED,,
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,UK,UK 10y breakeven,FRED / daily,Real-time,Covered,UK_R2,pipeline composite,,
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Eurozone,EZ 10y inflation swap,FRED / daily,Real-time,Missing-Hard,,,Inflation swaps proprietary; ECB linker breakeven partial,Swap proprietary; ECB linker-implied breakeven a partial free substitute.
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Japan,JP 10y breakeven,FRED / daily,Real-time,Missing-Hard,,,JP breakevens thin / proprietary,JGBi market thin; limited free data.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,US,US 5y5y forward inflation,Bloomberg / daily,Real-time,Covered,T5YIFR; US_INFEXP1,FRED,,FRED publishes US 5y5y forward (T5YIFR); proprietary swap not needed.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,UK,UK 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,Bloomberg inflation swap proprietary,No free UK 5y5y; derivable approximation from linker curve only.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,Eurozone,EZ 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,No clean free ECB 5y5y ILS,"CORRECTION (live ECB API check): the ECB FM dataflow carries only nominal yields, money-market rates and equity indices - no inflation-linked-swap series. EZ 5y5y is proprietary (Bloomberg), like UK/JP. Earlier 'sourceable via ECB' was incorrect."
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,Japan,JP 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,Proprietary,
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,US,UMich 5-10y inflation expectations,Univ. Michigan / monthly,Mid-month prelim,Covered,MICH5YR; MICH (1y),FRED,,"5-10y catalogued (Bucket A, MICH5YR); 1y MICH already present. VERIFY id on first fetch."
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,UK,BoE Inflation Attitudes Survey,Univ. Michigan / monthly,Mid-month prelim,Missing-Sourceable,,,BoE/Ipsos Inflation Attitudes Survey - free (quarterly),Not in pipeline; BoE publishes free.
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,Eurozone,ECB Survey of Consumer Expectations,Univ. Michigan / monthly,Mid-month prelim,Covered,CES/M.Z18.ALL.T.C1120.NUM_VAR.WM,ECB,,"Catalogued (Bucket C): ECB CES euro-area 12m-ahead inflation expectations (weighted median), verified live. 3y-ahead horizon also in CES if a longer anchor is wanted."
ISM / PMI Prices Paid,Inflation,Inflation-Adjacent / Commodity,Leading,US,ISM Manufacturing Prices Paid,ISM / monthly,1st business day,Covered,ISM/prices/in,DB.nomics,,"Catalogued (Bucket C), ISM/prices/in, verified live."
ISM / PMI Prices Paid,Inflation,Inflation-Adjacent / Commodity,Leading,UK,UK PMI Prices Paid,ISM / monthly,1st business day,Missing-Hard,,,S&P Global PMI sub-index proprietary,
