name,asset_class,broad_asset_class,region,country_market,base_currency,hedged,units,data_source,validation_status,audit_symbol,is_level,is_yield,pence,tier,simple_dash,has_output
FTSE/JSE Top 40,Equity,Equity,Middle East & Africa,South Africa,ZAR,False,Index,yfinance PR,CONFIRMED,^J200.JO,False,False,False,C,False,True
Borsa Istanbul 100,Equity,Equity,Europe,Turkey,TRY,False,Index,yfinance PR,CONFIRMED,XU100.IS,False,False,False,B,False,True
Borsa Istanbul 30,Equity,Equity,Europe,Turkey,TRY,False,Index,yfinance PR,CONFIRMED,XU030.IS,False,False,False,B,False,True
MERVAL (Argentina),Equity,Equity,Latin America,Argentina,ARS,False,Index,yfinance PR,CONFIRMED,^MERV,False,False,False,C,False,True
Euro Stoxx 50,Equity,Equity,Europe,Developed Europe,EUR,False,Index,yfinance PR,CONFIRMED,^STOXX50E,False,False,False,C,True,True
STOXX Europe 600,Equity,Equity,Europe,Developed Europe,EUR,False,Index,yfinance PR,CONFIRMED,^STOXX,False,False,False,C,False,True
STOXX Europe 600 Banks,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXV1.DE,False,False,False,B,False,True
STOXX Europe 600 Health Care,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXV4.DE,False,False,False,B,False,True
STOXX Europe 600 Technology,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXV3.DE,False,False,False,B,False,True
STOXX Europe 600 Energy,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXH1.DE,False,False,False,B,False,True
STOXX Europe 600 Industrials,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXH4.DE,False,False,False,B,False,True
STOXX Europe 600 Consumer Staples,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXH3.DE,False,False,False,B,False,True
STOXX Europe 600 Utilities,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXH9.DE,False,False,False,B,False,True
STOXX Europe 600 Telecom,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXV2.DE,False,False,False,B,False,True
STOXX Europe 600 Real Estate,Equity,Equity,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,EXI5.DE,False,False,False,B,False,True
iShares MSCI ACWI ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance TR,CONFIRMED,ACWI,False,False,False,A,False,True
iShares MSCI World ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance TR,CONFIRMED,URTH,False,False,False,A,False,True
iShares MSCI Emerging Markets ETF,Equity,Equity,Emerging Markets,Emerging Markets,USD,False,Index,yfinance TR,CONFIRMED,EEM,False,False,False,B,False,True
iShares MSCI Japan ETF,Equity,Equity,Japan,Japan,USD,False,Index,yfinance TR,CONFIRMED,EWJ,False,False,False,B,True,True
iShares MSCI All Country Asia ex Japan ETF,Equity,Equity,Asia ex Japan,Asia ex Japan,USD,False,Index,yfinance TR,CONFIRMED,AAXJ,False,False,False,B,True,True
iShares MSCI Eurozone ETF (MSCI Europe ex UK proxy),Equity,Equity,Europe,Europe,USD,False,Index,yfinance TR,CONFIRMED,EZU,False,False,False,B,False,True
S&P 500 Capital Goods,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2010,False,False,False,C,False,True
S&P 500 Commercial & Professional Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2020,False,False,False,C,False,True
S&P 500 Transportation,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2030,False,False,False,C,False,True
S&P 500 Automobiles & Components,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2510,False,False,False,C,False,True
S&P 500 Consumer Durables & Apparel,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2520,False,False,False,C,False,True
S&P 500 Consumer Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2530,False,False,False,C,False,True
S&P 500 Consumer Discretionary Distribution & Retail,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-2550,False,False,False,C,False,True
S&P 500 Food & Staples Retailing,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-3010,False,False,False,C,False,True
S&P 500 Food Beverage & Tobacco,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-3020,False,False,False,C,False,True
S&P 500 Household & Personal Products,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-3030,False,False,False,C,False,True
S&P 500 Health Care Equipment & Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-3510,False,False,False,C,False,True
S&P 500 Pharma Biotech & Life Sciences,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-3520,False,False,False,C,False,True
S&P 500 Banks,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4010,False,False,False,C,False,True
S&P 500 Financial Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4020,False,False,False,C,False,True
S&P 500 Insurance,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4030,False,False,False,C,False,True
S&P 500 Software & Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4510,False,False,False,C,False,True
S&P 500 Technology Hardware & Equipment,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4520,False,False,False,C,False,True
S&P 500 Semiconductors & Equipment,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-4530,False,False,False,C,False,True
S&P 500 Telecommunication Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-5010,False,False,False,C,False,True
S&P 500 Media & Entertainment,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-5020,False,False,False,C,False,True
S&P 500 Equity Real Estate Investment Trusts,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-6020,False,False,False,C,False,False
Nifty IT,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXIT,False,False,False,C,False,True
Nifty Auto,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXAUTO,False,False,False,C,False,True
Nifty Bank,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^NSEBANK,False,False,False,C,False,True
Nifty Energy,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXENERGY,False,False,False,C,False,True
Nifty FMCG,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXFMCG,False,False,False,C,False,True
Nifty Infrastructure,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXINFRA,False,False,False,C,False,True
Nifty Metal,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXMETAL,False,False,False,C,False,True
Nifty Pharma,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXPHARMA,False,False,False,C,False,True
Nifty Realty,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CNXREALTY,False,False,False,C,False,True
CBOE VIX Volatility Index,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^VIX,True,False,False,C,True,True
CBOE VIX9D - 9-Day VIX,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^VIX9D,True,False,False,C,False,True
CBOE VIX3M - 3-Month VIX,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^VIX3M,True,False,False,C,False,True
CBOE VVIX - Volatility of VIX,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^VVIX,True,False,False,C,False,True
CBOE SKEW Index,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SKEW,True,False,False,C,False,True
CBOE VXEFA - EAFE Volatility,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^VXEFA,True,False,False,C,False,True
CBOE VXEEM - EM Volatility,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^VXEEM,True,False,False,C,False,False
MOVE Index - Bond Volatility,Volatility,Macro-Market Indicators,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^MOVE,True,False,False,C,False,True
CBOE GVZ - Gold Volatility Index,Volatility,Macro-Market Indicators,Global,United States,USD,False,Index,yfinance PR,CONFIRMED,^GVZ,True,False,False,C,False,True
CBOE OVX - Crude Oil Volatility,Volatility,Macro-Market Indicators,Global,United States,USD,False,Index,yfinance PR,CONFIRMED,^OVX,True,False,False,C,False,True
NYSE FANG+ Index,Equity,Equity,,,USD,False,Index,yfinance PR,CONFIRMED,^NYFANG,False,False,False,C,False,True
S&P 500 Equal Weight Index,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SPXEW,False,False,False,C,False,True
Russell Midcap Growth Index,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,IWP,False,False,False,A,False,True
Russell Midcap Value Index,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,IWS,False,False,False,A,False,True
Wilshire US Large-Cap Growth Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Wilshire US Large-Cap Value Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Wilshire US Mid-Cap Growth Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Wilshire US Mid-Cap Value Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Wilshire US Small-Cap Growth Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Wilshire US Small-Cap Value Index,Equity,Equity,North America,United States,USD,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
iShares MSCI USA Momentum Factor ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,MTUM,False,False,False,A,False,True
Vanguard Dividend Appreciation ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,VIG,False,False,False,A,False,True
iShares MSCI USA Quality Factor ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,QUAL,False,False,False,A,False,True
Schwab US Dividend Equity ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,SCHD,False,False,False,A,False,True
Invesco S&P 500 Low Volatility ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,SPLV,False,False,False,A,False,True
iShares MSCI USA Min Vol Factor ETF,Equity,Equity,North America,United States,USD,False,Price,yfinance TR,CONFIRMED,USMV,False,False,False,A,False,True
iShares MSCI Europe Momentum Factor UCITS ETF,Equity,Equity,Europe,Europe,GBP,False,Price,yfinance TR,CONFIRMED,IEFM.L,False,False,True,B,False,True
iShares MSCI Europe Min Vol UCITS ETF,Equity,Equity,Europe,Europe,EUR,False,Price,yfinance TR,CONFIRMED,EUN0.DE,False,False,False,B,False,True
iShares MSCI Europe Quality Factor UCITS ETF,Equity,Equity,Europe,Europe,GBP,False,Price,yfinance TR,CONFIRMED,IEFQ.L,False,False,True,B,False,True
SPDR S&P UK Dividend Aristocrats UCITS ETF,Equity,Equity,UK,United Kingdom,GBP,False,Price,yfinance TR,CONFIRMED,UKDV.L,False,False,True,B,False,True
SPDR S&P Euro Dividend Aristocrats UCITS ETF,Equity,Equity,Europe,Germany,EUR,False,Price,yfinance TR,CONFIRMED,SPYW.DE,False,False,False,B,False,True
iShares MSCI World Small Cap UCITS ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance TR,CONFIRMED,WSML.L,False,False,True,B,False,True
iShares MSCI World Quality Factor UCITS ETF,Equity,Equity,Global,Global,USD,False,Price,yfinance TR,CONFIRMED,IWQU.L,False,False,True,B,False,True
iShares MSCI World Min Vol UCITS ETF,Equity,Equity,Global,Global,GBP,False,Price,yfinance TR,CONFIRMED,MINV.L,False,False,True,B,False,True
iShares MSCI World Momentum UCITS ETF,Equity,Equity,Global,Global,USD,False,Price,yfinance TR,CONFIRMED,IWMO.L,False,False,True,B,False,True
SPDR S&P Global Dividend Aristocrats UCITS ETF,Equity,Equity,Global,Global,EUR,False,Price,yfinance TR,CONFIRMED,ZPRG.DE,False,False,False,B,False,True
iShares MSCI World Value Factor UCITS ETF,Equity,Equity,Global,Global,USD,False,Price,yfinance TR,CONFIRMED,IWVL.L,False,False,True,B,False,True
iShares MSCI ACWI Min Vol Factor ETF,Equity,Equity,Global,Global,USD,False,Price,yfinance TR,CONFIRMED,ACWV,False,False,False,A,False,True
iShares MSCI EAFE Small-Cap ETF,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,SCZ,False,False,False,A,False,True
iShares Latin America 40 ETF,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,ILF,False,False,False,A,True,True
DXY Dollar Index,FX,FX,North America,United States,USD,False,Rate,yfinance PR,CONFIRMED,DX-Y.NYB,False,False,False,A,True,True
GBP/USD,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,GBPUSD=X,False,False,False,A,True,True
EUR/USD,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,EURUSD=X,False,False,False,A,True,True
USD/JPY,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,USDJPY=X,False,False,False,A,True,True
USD/CNY,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,CNY=X,False,False,False,A,True,True
USD/INR,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,INR=X,False,False,False,A,True,True
USD/KRW,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,KRW=X,False,False,False,A,True,True
USD/TWD,FX,FX,Global,Global,USD,False,Rate,yfinance PR,CONFIRMED,TWD=X,False,False,False,A,True,True
Bitcoin,Crypto,Crypto,Global,Global,USD,False,Price,yfinance PR,CONFIRMED,BTC-USD,False,False,False,A,True,True
Ethereum,Crypto,Crypto,Global,Global,USD,False,Price,yfinance PR,CONFIRMED,ETH-USD,False,False,False,A,True,True
US 3-Month Treasury Yield,Rates,Bonds,,,USD,False,% pa,yfinance PR,CONFIRMED,^IRX,True,True,False,A,True,True
US 5-Year Treasury Yield,Rates,Bonds,,,USD,False,% pa,yfinance PR,CONFIRMED,^FVX,True,True,False,A,True,True
US 10-Year Treasury Yield,Rates,Bonds,,,USD,False,% pa,yfinance PR,CONFIRMED,^TNX,True,True,False,A,True,True
US 30-Year Treasury Yield,Rates,Bonds,,,USD,False,% pa,yfinance PR,CONFIRMED,^TYX,True,True,False,A,True,True
US 2-Year Treasury Yield,Rates,Bonds,,,,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,True,False
UK 10-Year Gilt Yield,Rates,Bonds,UK,United Kingdom,GBP,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,True,False
Germany 10-Year Bund Yield,Rates,Bonds,Europe,Germany,EUR,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,True,False
Japan 10-Year JGB Yield,Rates,Bonds,Japan,Japan,JPY,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,True,False
5-Year Breakeven Inflation Rate,Rates,Bonds,,,,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
10-Year Breakeven Inflation Rate,Rates,Bonds,,,,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
5-Year 5-Year Forward Inflation Rate,Rates,Bonds,,,,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
US 10Y-2Y Treasury Yield Spread,Rates,Bonds,,,,False,bps,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
US 10Y-3M Treasury Yield Spread,Rates,Bonds,,,,False,bps,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
Federal Funds Effective Rate,Rates,Bonds,North America,United States,USD,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
Secured Overnight Financing Rate (SOFR),Rates,Bonds,North America,United States,USD,False,% pa,UNAVAILABLE,CONFIRMED,,False,True,False,C,False,False
iShares Global Energy ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,IXC,False,False,False,A,False,True
iShares Global Materials ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,MXI,False,False,False,A,False,True
iShares Global Industrials ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,EXI,False,False,False,A,False,True
iShares Global Consumer Discretionary ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,RXI,False,False,False,A,False,True
iShares Global Consumer Staples ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,KXI,False,False,False,A,False,True
iShares Global Healthcare ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,IXJ,False,False,False,A,False,True
iShares Global Financials ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,IXG,False,False,False,A,False,True
iShares Global Tech ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,IXN,False,False,False,A,False,True
iShares Global Comm Services ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,IXP,False,False,False,A,False,True
iShares Global Utilities ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,JXI,False,False,False,A,False,True
iShares Global REIT ETF,Equity,Equity,Global,Global,USD,False,Index,yfinance PR,CONFIRMED,REET,False,False,False,A,False,True
S&P 500 Energy Equipment & Serv,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-101010,False,False,False,C,False,True
"S&P 500 Oil, Gas & Consumable F",Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-101020,False,False,False,C,False,True
S&P 500 Chemicals (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-151010,False,False,False,C,False,False
S&P 500 Construction Materials,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-151020,False,False,False,C,False,True
S&P 500 Containers & Packaging,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-151030,False,False,False,C,False,False
S&P 500 Metals & Mining (Indust,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-151040,False,False,False,C,False,True
