Date,BSCICP03USM665S
1953-09-25,97.1376
1953-10-02,96.6010
1953-10-09,96.6010
1953-10-16,96.6010
1953-10-23,96.6010
1953-10-30,96.6010
1953-11-06,96.3024
1953-11-13,96.3024
1953-11-20,96.3024
1953-11-27,96.3024
1953-12-04,96.2684
1953-12-11,96.2684
1953-12-18,96.2684
1953-12-25,96.2684
1954-01-01,96.6061
1954-01-08,96.6061
1954-01-15,96.6061
1954-01-22,96.6061
1954-01-29,96.6061
1954-02-05,97.2501
1954-02-12,97.2501
1954-02-19,97.2501
1954-02-26,97.2501
1954-03-05,98.0228
1954-03-12,98.0228
1954-03-19,98.0228
1954-03-26,98.0228
1954-04-02,98.7219
1954-04-09,98.7219
1954-04-16,98.7219
1954-04-23,98.7219
1954-04-30,98.7219
1954-05-07,99.2340
1954-05-14,99.2340
1954-05-21,99.2340
1954-05-28,99.2340
1954-06-04,99.4994
1954-06-11,99.4994
1954-06-18,99.4994
1954-06-25,99.4994
1954-07-02,99.5325
1954-07-09,99.5325
1954-07-16,99.5325
1954-07-23,99.5325
1954-07-30,99.5325
1954-08-06,99.5991
1954-08-13,99.5991
1954-08-20,99.5991
1954-08-27,99.5991
1954-09-03,100.0945
1954-09-10,100.0945
1954-09-17,100.0945
1954-09-24,100.0945
1954-10-01,100.7907
1954-10-08,100.7907
1954-10-15,100.7907
1954-10-22,100.7907
1954-10-29,100.7907
1954-11-05,101.4260
1954-11-12,101.4260
1954-11-19,101.4260
1954-11-26,101.4260
1954-12-03,102.0500
1954-12-10,102.0500
1954-12-17,102.0500
1954-12-24,102.0500
1954-12-31,102.0500
1955-01-07,102.5216
1955-01-14,102.5216
1955-01-21,102.5216
1955-01-28,102.5216
1955-02-04,102.9926
1955-02-11,102.9926
1955-02-18,102.9926
1955-02-25,102.9926
1955-03-04,103.2587
1955-03-11,103.2587
1955-03-18,103.2587
1955-03-25,103.2587
1955-04-01,103.3517
1955-04-08,103.3517
1955-04-15,103.3517
1955-04-22,103.3517
1955-04-29,103.3517
1955-05-06,103.2075
1955-05-13,103.2075
1955-05-20,103.2075
1955-05-27,103.2075
1955-06-03,102.8385
1955-06-10,102.8385
1955-06-17,102.8385
1955-06-24,102.8385
1955-07-01,102.6555
1955-07-08,102.6555
1955-07-15,102.6555
1955-07-22,102.6555
1955-07-29,102.6555
1955-08-05,102.4623
1955-08-12,102.4623
1955-08-19,102.4623
1955-08-26,102.4623
1955-09-02,102.2823
1955-09-09,102.2823
1955-09-16,102.2823
1955-09-23,102.2823
1955-09-30,102.2823
1955-10-07,102.2403
1955-10-14,102.2403
1955-10-21,102.2403
1955-10-28,102.2403
1955-11-04,102.2120
1955-11-11,102.2120
1955-11-18,102.2120
1955-11-25,102.2120
1955-12-02,102.1532
1955-12-09,102.1532
1955-12-16,102.1532
1955-12-23,102.1532
1955-12-30,102.1532
1956-01-06,101.7515
1956-01-13,101.7515
1956-01-20,101.7515
1956-01-27,101.7515
1956-02-03,101.2833
1956-02-10,101.2833
1956-02-17,101.2833
1956-02-24,101.2833
1956-03-02,100.8184
1956-03-09,100.8184
1956-03-16,100.8184
1956-03-23,100.8184
1956-03-30,100.8184
1956-04-06,100.2455
1956-04-13,100.2455
1956-04-20,100.2455
1956-04-27,100.2455
1956-05-04,99.5158
1956-05-11,99.5158
1956-05-18,99.5158
1956-05-25,99.5158
1956-06-01,98.9275
1956-06-08,98.9275
1956-06-15,98.9275
1956-06-22,98.9275
1956-06-29,98.9275
1956-07-06,98.8144
1956-07-13,98.8144
1956-07-20,98.8144
1956-07-27,98.8144
1956-08-03,99.3588
1956-08-10,99.3588
1956-08-17,99.3588
1956-08-24,99.3588
1956-08-31,99.3588
1956-09-07,99.9294
1956-09-14,99.9294
1956-09-21,99.9294
1956-09-28,99.9294
1956-10-05,100.1539
1956-10-12,100.1539
1956-10-19,100.1539
1956-10-26,100.1539
1956-11-02,100.2346
1956-11-09,100.2346
1956-11-16,100.2346
1956-11-23,100.2346
1956-11-30,100.2346
1956-12-07,100.1037
1956-12-14,100.1037
1956-12-21,100.1037
1956-12-28,100.1037
1957-01-04,99.8520
1957-01-11,99.8520
1957-01-18,99.8520
1957-01-25,99.8520
1957-02-01,99.3504
1957-02-08,99.3504
1957-02-15,99.3504
1957-02-22,99.3504
1957-03-01,98.7008
1957-03-08,98.7008
1957-03-15,98.7008
1957-03-22,98.7008
1957-03-29,98.7008
1957-04-05,98.1622
1957-04-12,98.1622
1957-04-19,98.1622
1957-04-26,98.1622
1957-05-03,98.0242
1957-05-10,98.0242
1957-05-17,98.0242
1957-05-24,98.0242
1957-05-31,98.0242
1957-06-07,98.1713
1957-06-14,98.1713
1957-06-21,98.1713
1957-06-28,98.1713
1957-07-05,98.2872
1957-07-12,98.2872
1957-07-19,98.2872
1957-07-26,98.2872
1957-08-02,98.2616
1957-08-09,98.2616
1957-08-16,98.2616
1957-08-23,98.2616
1957-08-30,98.2616
1957-09-06,98.0297
1957-09-13,98.0297
1957-09-20,98.0297
1957-09-27,98.0297
1957-10-04,97.5099
1957-10-11,97.5099
1957-10-18,97.5099
1957-10-25,97.5099
1957-11-01,96.9457
1957-11-08,96.9457
1957-11-15,96.9457
1957-11-22,96.9457
1957-11-29,96.9457
1957-12-06,96.3847
1957-12-13,96.3847
1957-12-20,96.3847
1957-12-27,96.3847
1958-01-03,96.0876
1958-01-10,96.0876
1958-01-17,96.0876
1958-01-24,96.0876
1958-01-31,96.0876
1958-02-07,96.2918
1958-02-14,96.2918
1958-02-21,96.2918
1958-02-28,96.2918
1958-03-07,96.7548
1958-03-14,96.7548
1958-03-21,96.7548
1958-03-28,96.7548
1958-04-04,97.3926
1958-04-11,97.3926
1958-04-18,97.3926
1958-04-25,97.3926
1958-05-02,98.3922
1958-05-09,98.3922
1958-05-16,98.3922
1958-05-23,98.3922
1958-05-30,98.3922
1958-06-06,99.4185
1958-06-13,99.4185
1958-06-20,99.4185
1958-06-27,99.4185
1958-07-04,100.2770
1958-07-11,100.2770
1958-07-18,100.2770
1958-07-25,100.2770
1958-08-01,100.9501
1958-08-08,100.9501
1958-08-15,100.9501
1958-08-22,100.9501
1958-08-29,100.9501
1958-09-05,101.4702
1958-09-12,101.4702
1958-09-19,101.4702
1958-09-26,101.4702
1958-10-03,101.8225
1958-10-10,101.8225
1958-10-17,101.8225
1958-10-24,101.8225
1958-10-31,101.8225
1958-11-07,101.9786
1958-11-14,101.9786
1958-11-21,101.9786
1958-11-28,101.9786
1958-12-05,102.0978
1958-12-12,102.0978
1958-12-19,102.0978
1958-12-26,102.0978
1959-01-02,102.4604
1959-01-09,102.4604
1959-01-16,102.4604
1959-01-23,102.4604
1959-01-30,102.4604
1959-02-06,102.8601
1959-02-13,102.8601
1959-02-20,102.8601
1959-02-27,102.8601
1959-03-06,103.1062
1959-03-13,103.1062
1959-03-20,103.1062
1959-03-27,103.1062
1959-04-03,103.1776
1959-04-10,103.1776
1959-04-17,103.1776
1959-04-24,103.1776
1959-05-01,103.0207
1959-05-08,103.0207
1959-05-15,103.0207
1959-05-22,103.0207
1959-05-29,103.0207
1959-06-05,102.4338
1959-06-12,102.4338
1959-06-19,102.4338
1959-06-26,102.4338
1959-07-03,101.5122
1959-07-10,101.5122
1959-07-17,101.5122
1959-07-24,101.5122
1959-07-31,101.5122
1959-08-07,100.3930
1959-08-14,100.3930
1959-08-21,100.3930
1959-08-28,100.3930
1959-09-04,99.5343
1959-09-11,99.5343
1959-09-18,99.5343
1959-09-25,99.5343
1959-10-02,99.4167
1959-10-09,99.4167
1959-10-16,99.4167
1959-10-23,99.4167
1959-10-30,99.4167
1959-11-06,99.8958
1959-11-13,99.8958
1959-11-20,99.8958
1959-11-27,99.8958
1959-12-04,100.6291
1959-12-11,100.6291
1959-12-18,100.6291
1959-12-25,100.6291
1960-01-01,100.7973
1960-01-08,100.7973
1960-01-15,100.7973
1960-01-22,100.7973
1960-01-29,100.7973
1960-02-05,100.0539
1960-02-12,100.0539
1960-02-19,100.0539
1960-02-26,100.0539
1960-03-04,99.0885
1960-03-11,99.0885
1960-03-18,99.0885
1960-03-25,99.0885
1960-04-01,98.3320
1960-04-08,98.3320
1960-04-15,98.3320
1960-04-22,98.3320
1960-04-29,98.3320
1960-05-06,97.9249
1960-05-13,97.9249
1960-05-20,97.9249
1960-05-27,97.9249
1960-06-03,97.9202
1960-06-10,97.9202
1960-06-17,97.9202
1960-06-24,97.9202
1960-07-01,98.0919
1960-07-08,98.0919
1960-07-15,98.0919
1960-07-22,98.0919
1960-07-29,98.0919
1960-08-05,98.3390
1960-08-12,98.3390
1960-08-19,98.3390
1960-08-26,98.3390
1960-09-02,98.3585
1960-09-09,98.3585
1960-09-16,98.3585
1960-09-23,98.3585
1960-09-30,98.3585
1960-10-07,98.2624
1960-10-14,98.2624
1960-10-21,98.2624
1960-10-28,98.2624
1960-11-04,98.0704
1960-11-11,98.0704
1960-11-18,98.0704
1960-11-25,98.0704
1960-12-02,97.9394
1960-12-09,97.9394
1960-12-16,97.9394
1960-12-23,97.9394
1960-12-30,97.9394
1961-01-06,97.9788
1961-01-13,97.9788
1961-01-20,97.9788
1961-01-27,97.9788
1961-02-03,98.3811
1961-02-10,98.3811
1961-02-17,98.3811
1961-02-24,98.3811
1961-03-03,99.2946
1961-03-10,99.2946
1961-03-17,99.2946
1961-03-24,99.2946
1961-03-31,99.2946
1961-04-07,100.3539
1961-04-14,100.3539
1961-04-21,100.3539
1961-04-28,100.3539
1961-05-05,100.9853
1961-05-12,100.9853
1961-05-19,100.9853
1961-05-26,100.9853
1961-06-02,101.2305
1961-06-09,101.2305
1961-06-16,101.2305
1961-06-23,101.2305
1961-06-30,101.2305
1961-07-07,101.4033
1961-07-14,101.4033
1961-07-21,101.4033
1961-07-28,101.4033
1961-08-04,101.6666
1961-08-11,101.6666
1961-08-18,101.6666
1961-08-25,101.6666
1961-09-01,101.8827
1961-09-08,101.8827
1961-09-15,101.8827
1961-09-22,101.8827
1961-09-29,101.8827
1961-10-06,101.9031
1961-10-13,101.9031
1961-10-20,101.9031
1961-10-27,101.9031
1961-11-03,101.8622
1961-11-10,101.8622
1961-11-17,101.8622
1961-11-24,101.8622
1961-12-01,101.9795
1961-12-08,101.9795
1961-12-15,101.9795
1961-12-22,101.9795
1961-12-29,101.9795
1962-01-05,101.8918
1962-01-12,101.8918
1962-01-19,101.8918
1962-01-26,101.8918
1962-02-02,101.6877
1962-02-09,101.6877
1962-02-16,101.6877
1962-02-23,101.6877
1962-03-02,101.2648
1962-03-09,101.2648
1962-03-16,101.2648
1962-03-23,101.2648
1962-03-30,101.2648
1962-04-06,100.5770
1962-04-13,100.5770
1962-04-20,100.5770
1962-04-27,100.5770
1962-05-04,99.9479
1962-05-11,99.9479
1962-05-18,99.9479
1962-05-25,99.9479
1962-06-01,99.5391
1962-06-08,99.5391
1962-06-15,99.5391
1962-06-22,99.5391
1962-06-29,99.5391
1962-07-06,99.3375
1962-07-13,99.3375
1962-07-20,99.3375
1962-07-27,99.3375
1962-08-03,99.2535
1962-08-10,99.2535
1962-08-17,99.2535
1962-08-24,99.2535
1962-08-31,99.2535
1962-09-07,99.3672
1962-09-14,99.3672
1962-09-21,99.3672
1962-09-28,99.3672
1962-10-05,99.6802
1962-10-12,99.6802
1962-10-19,99.6802
1962-10-26,99.6802
1962-11-02,100.1121
1962-11-09,100.1121
1962-11-16,100.1121
1962-11-23,100.1121
1962-11-30,100.1121
1962-12-07,100.4540
1962-12-14,100.4540
1962-12-21,100.4540
1962-12-28,100.4540
1963-01-04,100.5123
1963-01-11,100.5123
1963-01-18,100.5123
1963-01-25,100.5123
1963-02-01,100.5201
1963-02-08,100.5201
1963-02-15,100.5201
1963-02-22,100.5201
1963-03-01,100.6359
1963-03-08,100.6359
1963-03-15,100.6359
1963-03-22,100.6359
1963-03-29,100.6359
1963-04-05,100.9131
1963-04-12,100.9131
1963-04-19,100.9131
1963-04-26,100.9131
1963-05-03,101.0965
1963-05-10,101.0965
1963-05-17,101.0965
1963-05-24,101.0965
1963-05-31,101.0965
1963-06-07,100.9867
1963-06-14,100.9867
1963-06-21,100.9867
1963-06-28,100.9867
1963-07-05,100.7446
1963-07-12,100.7446
1963-07-19,100.7446
1963-07-26,100.7446
1963-08-02,100.6466
1963-08-09,100.6466
1963-08-16,100.6466
1963-08-23,100.6466
1963-08-30,100.6466
1963-09-06,100.7287
1963-09-13,100.7287
1963-09-20,100.7287
1963-09-27,100.7287
1963-10-04,100.7953
1963-10-11,100.7953
1963-10-18,100.7953
1963-10-25,100.7953
1963-11-01,100.7368
1963-11-08,100.7368
1963-11-15,100.7368
1963-11-22,100.7368
1963-11-29,100.7368
1963-12-06,100.6392
1963-12-13,100.6392
1963-12-20,100.6392
1963-12-27,100.6392
1964-01-03,100.7991
1964-01-10,100.7991
1964-01-17,100.7991
1964-01-24,100.7991
1964-01-31,100.7991
1964-02-07,101.0456
1964-02-14,101.0456
1964-02-21,101.0456
1964-02-28,101.0456
1964-03-06,101.2674
1964-03-13,101.2674
1964-03-20,101.2674
1964-03-27,101.2674
1964-04-03,101.3430
1964-04-10,101.3430
1964-04-17,101.3430
1964-04-24,101.3430
1964-05-01,101.4290
1964-05-08,101.4290
1964-05-15,101.4290
1964-05-22,101.4290
1964-05-29,101.4290
1964-06-05,101.6625
1964-06-12,101.6625
1964-06-19,101.6625
1964-06-26,101.6625
1964-07-03,101.9650
1964-07-10,101.9650
1964-07-17,101.9650
1964-07-24,101.9650
1964-07-31,101.9650
1964-08-07,102.1180
1964-08-14,102.1180
1964-08-21,102.1180
1964-08-28,102.1180
1964-09-04,102.0820
1964-09-11,102.0820
1964-09-18,102.0820
1964-09-25,102.0820
1964-10-02,101.9312
1964-10-09,101.9312
1964-10-16,101.9312
1964-10-23,101.9312
1964-10-30,101.9312
1964-11-06,101.8899
1964-11-13,101.8899
1964-11-20,101.8899
1964-11-27,101.8899
1964-12-04,101.9073
1964-12-11,101.9073
1964-12-18,101.9073
1964-12-25,101.9073
1965-01-01,101.9423
1965-01-08,101.9423
1965-01-15,101.9423
1965-01-22,101.9423
1965-01-29,101.9423
1965-02-05,102.0792
1965-02-12,102.0792
1965-02-19,102.0792
1965-02-26,102.0792
1965-03-05,102.1826
1965-03-12,102.1826
1965-03-19,102.1826
1965-03-26,102.1826
1965-04-02,102.0042
1965-04-09,102.0042
1965-04-16,102.0042
1965-04-23,102.0042
1965-04-30,102.0042
1965-05-07,101.6993
1965-05-14,101.6993
1965-05-21,101.6993
1965-05-28,101.6993
1965-06-04,101.3633
1965-06-11,101.3633
1965-06-18,101.3633
1965-06-25,101.3633
1965-07-02,101.1812
1965-07-09,101.1812
1965-07-16,101.1812
1965-07-23,101.1812
1965-07-30,101.1812
1965-08-06,101.1874
1965-08-13,101.1874
1965-08-20,101.1874
1965-08-27,101.1874
1965-09-03,101.3154
1965-09-10,101.3154
1965-09-17,101.3154
1965-09-24,101.3154
1965-10-01,101.3912
1965-10-08,101.3912
1965-10-15,101.3912
1965-10-22,101.3912
1965-10-29,101.3912
1965-11-05,101.6480
1965-11-12,101.6480
1965-11-19,101.6480
1965-11-26,101.6480
1965-12-03,102.1183
1965-12-10,102.1183
1965-12-17,102.1183
1965-12-24,102.1183
1965-12-31,102.1183
1966-01-07,102.5549
1966-01-14,102.5549
1966-01-21,102.5549
1966-01-28,102.5549
1966-02-04,102.7135
1966-02-11,102.7135
1966-02-18,102.7135
1966-02-25,102.7135
1966-03-04,102.5809
1966-03-11,102.5809
1966-03-18,102.5809
1966-03-25,102.5809
1966-04-01,102.1497
1966-04-08,102.1497
1966-04-15,102.1497
1966-04-22,102.1497
1966-04-29,102.1497
1966-05-06,101.5954
1966-05-13,101.5954
1966-05-20,101.5954
1966-05-27,101.5954
1966-06-03,101.3754
1966-06-10,101.3754
1966-06-17,101.3754
1966-06-24,101.3754
1966-07-01,101.3430
1966-07-08,101.3430
1966-07-15,101.3430
1966-07-22,101.3430
1966-07-29,101.3430
1966-08-05,101.2555
1966-08-12,101.2555
1966-08-19,101.2555
1966-08-26,101.2555
1966-09-02,101.0948
1966-09-09,101.0948
1966-09-16,101.0948
1966-09-23,101.0948
1966-09-30,101.0948
1966-10-07,100.7558
1966-10-14,100.7558
1966-10-21,100.7558
1966-10-28,100.7558
1966-11-04,100.2517
1966-11-11,100.2517
1966-11-18,100.2517
1966-11-25,100.2517
1966-12-02,99.7204
1966-12-09,99.7204
1966-12-16,99.7204
1966-12-23,99.7204
1966-12-30,99.7204
1967-01-06,99.1536
1967-01-13,99.1536
1967-01-20,99.1536
1967-01-27,99.1536
1967-02-03,98.6397
1967-02-10,98.6397
1967-02-17,98.6397
1967-02-24,98.6397
1967-03-03,98.1996
1967-03-10,98.1996
1967-03-17,98.1996
1967-03-24,98.1996
1967-03-31,98.1996
1967-04-07,97.9685
1967-04-14,97.9685
1967-04-21,97.9685
1967-04-28,97.9685
1967-05-05,98.1262
1967-05-12,98.1262
1967-05-19,98.1262
1967-05-26,98.1262
1967-06-02,98.5746
1967-06-09,98.5746
1967-06-16,98.5746
1967-06-23,98.5746
1967-06-30,98.5746
1967-07-07,99.1564
1967-07-14,99.1564
1967-07-21,99.1564
1967-07-28,99.1564
1967-08-04,99.7166
1967-08-11,99.7166
1967-08-18,99.7166
1967-08-25,99.7166
1967-09-01,100.1184
1967-09-08,100.1184
1967-09-15,100.1184
1967-09-22,100.1184
1967-09-29,100.1184
1967-10-06,100.2816
1967-10-13,100.2816
1967-10-20,100.2816
1967-10-27,100.2816
1967-11-03,100.3786
1967-11-10,100.3786
1967-11-17,100.3786
1967-11-24,100.3786
1967-12-01,100.4939
1967-12-08,100.4939
1967-12-15,100.4939
1967-12-22,100.4939
1967-12-29,100.4939
1968-01-05,100.5496
1968-01-12,100.5496
1968-01-19,100.5496
1968-01-26,100.5496
1968-02-02,100.5001
1968-02-09,100.5001
1968-02-16,100.5001
1968-02-23,100.5001
1968-03-01,100.4980
1968-03-08,100.4980
1968-03-15,100.4980
1968-03-22,100.4980
1968-03-29,100.4980
1968-04-05,100.5889
1968-04-12,100.5889
1968-04-19,100.5889
1968-04-26,100.5889
1968-05-03,100.4480
1968-05-10,100.4480
1968-05-17,100.4480
1968-05-24,100.4480
1968-05-31,100.4480
1968-06-07,100.2194
1968-06-14,100.2194
1968-06-21,100.2194
1968-06-28,100.2194
1968-07-05,100.0590
1968-07-12,100.0590
1968-07-19,100.0590
1968-07-26,100.0590
1968-08-02,99.9640
1968-08-09,99.9640
1968-08-16,99.9640
1968-08-23,99.9640
1968-08-30,99.9640
1968-09-06,100.0668
1968-09-13,100.0668
1968-09-20,100.0668
1968-09-27,100.0668
1968-10-04,100.4192
1968-10-11,100.4192
1968-10-18,100.4192
1968-10-25,100.4192
1968-11-01,100.6907
1968-11-08,100.6907
1968-11-15,100.6907
1968-11-22,100.6907
1968-11-29,100.6907
1968-12-06,100.7021
1968-12-13,100.7021
1968-12-20,100.7021
1968-12-27,100.7021
1969-01-03,100.6638
1969-01-10,100.6638
1969-01-17,100.6638
1969-01-24,100.6638
1969-01-31,100.6638
1969-02-07,100.7206
1969-02-14,100.7206
1969-02-21,100.7206
1969-02-28,100.7206
1969-03-07,100.7251
1969-03-14,100.7251
1969-03-21,100.7251
1969-03-28,100.7251
1969-04-04,100.6452
1969-04-11,100.6452
1969-04-18,100.6452
1969-04-25,100.6452
1969-05-02,100.5826
1969-05-09,100.5826
1969-05-16,100.5826
1969-05-23,100.5826
1969-05-30,100.5826
1969-06-06,100.4309
1969-06-13,100.4309
1969-06-20,100.4309
1969-06-27,100.4309
1969-07-04,100.2715
1969-07-11,100.2715
1969-07-18,100.2715
1969-07-25,100.2715
1969-08-01,100.2585
1969-08-08,100.2585
1969-08-15,100.2585
1969-08-22,100.2585
1969-08-29,100.2585
1969-09-05,100.2471
1969-09-12,100.2471
1969-09-19,100.2471
1969-09-26,100.2471
1969-10-03,100.1830
1969-10-10,100.1830
1969-10-17,100.1830
1969-10-24,100.1830
1969-10-31,100.1830
1969-11-07,99.9583
1969-11-14,99.9583
1969-11-21,99.9583
1969-11-28,99.9583
1969-12-05,99.5873
1969-12-12,99.5873
1969-12-19,99.5873
1969-12-26,99.5873
1970-01-02,99.1200
1970-01-09,99.1200
1970-01-16,99.1200
1970-01-23,99.1200
1970-01-30,99.1200
1970-02-06,98.7481
1970-02-13,98.7481
1970-02-20,98.7481
1970-02-27,98.7481
1970-03-06,98.5407
1970-03-13,98.5407
1970-03-20,98.5407
1970-03-27,98.5407
1970-04-03,98.5286
1970-04-10,98.5286
1970-04-17,98.5286
